hand,avg_reward,win_rate
500,-0.839,0.002
1000,-0.791,0.002
1500,-0.613,0.008
2000,-0.76,0.0
2500,-0.806,0.004
3000,-0.879,0.002
3500,-0.661,0.004
4000,-0.723,0.004
4500,-0.738,0.002
5000,-0.67,0.002
5500,-0.761,0.002
6000,-0.765,0.004
6500,-0.675,0.004
7000,-0.783,0.0
7500,-0.655,0.008
8000,-0.788,0.002
8500,-0.736,0.004
9000,-0.644,0.006
9500,-0.782,0.012
10000,-0.732,0.006
10500,-0.736,0.004
11000,-0.752,0.006
11500,-0.721,0.004
12000,-0.7,0.004
12500,-0.678,0.008
13000,-0.723,0.008
13500,-0.78,0.012
14000,-0.832,0.006
14500,-0.686,0.012
15000,-0.646,0.014
15500,-0.706,0.01
16000,-0.778,0.002
16500,-0.669,0.012
17000,-0.727,0.01
17500,-0.762,0.008
18000,-0.712,0.012
18500,-0.714,0.014
19000,-0.626,0.008
19500,-0.754,0.004
20000,-0.578,0.016
20500,-0.749,0.012
21000,-0.869,0.004
21500,-0.651,0.014
22000,-0.788,0.006
22500,-0.738,0.012
23000,-0.657,0.014
23500,-0.773,0.004
24000,-0.725,0.016
24500,-0.826,0.002
25000,-0.739,0.008
25500,-0.854,0.014
26000,-0.735,0.016
26500,-0.658,0.016
27000,-0.807,0.016
27500,-0.774,0.01
28000,-0.769,0.008
28500,-0.646,0.016
29000,-0.645,0.012
29500,-0.851,0.01
30000,-0.718,0.012
30500,-0.742,0.016
31000,-0.803,0.012
31500,-0.703,0.012
32000,-0.674,0.012
32500,-0.739,0.006
33000,-0.91,0.01
33500,-0.687,0.022
34000,-0.535,0.022
34500,-0.704,0.02
35000,-0.693,0.014
35500,-0.58,0.02
36000,-0.698,0.014
36500,-0.688,0.012
37000,-0.798,0.018
37500,-0.617,0.022
38000,-0.636,0.024
38500,-0.726,0.014
39000,-0.698,0.02
39500,-0.715,0.02
40000,-0.565,0.028
40500,-0.731,0.018
41000,-0.653,0.016
41500,-0.706,0.024
42000,-0.749,0.024
42500,-0.76,0.014
43000,-0.617,0.022
43500,-0.895,0.02
44000,-0.721,0.026
44500,-0.694,0.022
45000,-0.802,0.022
45500,-0.734,0.018
46000,-0.82,0.012
46500,-0.792,0.016
47000,-0.626,0.026
47500,-0.765,0.028
48000,-0.596,0.034
48500,-0.679,0.022
49000,-0.778,0.014
49500,-0.57,0.034
50000,-0.658,0.028
50500,-0.879,0.022
51000,-0.651,0.026
51500,-0.725,0.03
52000,-0.649,0.028
52500,-0.743,0.018
53000,-0.687,0.028
53500,-0.837,0.02
54000,-0.717,0.024
54500,-0.707,0.032
55000,-0.723,0.034
55500,-0.615,0.026
56000,-0.833,0.03
56500,-0.798,0.028
57000,-0.776,0.02
57500,-0.802,0.018
58000,-0.781,0.028
58500,-0.632,0.018
59000,-0.641,0.052
59500,-0.591,0.036
60000,-0.771,0.032
60500,-0.739,0.04
61000,-0.752,0.034
61500,-0.768,0.03
62000,-0.582,0.04
62500,-0.53,0.046
63000,-0.619,0.046
63500,-0.615,0.036
64000,-0.781,0.044
64500,-0.574,0.044
65000,-0.749,0.03
65500,-0.537,0.046
66000,-0.564,0.034
66500,-0.449,0.054
67000,-0.588,0.048
67500,-0.577,0.048
68000,-0.678,0.032
68500,-0.582,0.036
69000,-0.52,0.07
69500,-0.51,0.05
70000,-0.715,0.04
70500,-0.51,0.054
71000,-0.675,0.046
71500,-0.867,0.038
72000,-0.698,0.05
72500,-0.676,0.034
73000,-0.619,0.04
73500,-0.636,0.048
74000,-0.647,0.036
74500,-0.783,0.034
75000,-0.54,0.044
75500,-0.754,0.03
76000,-0.637,0.042
76500,-0.677,0.038
77000,-0.698,0.05
77500,-0.835,0.03
78000,-0.704,0.048
78500,-0.56,0.062
79000,-0.785,0.042
79500,-0.703,0.044
80000,-0.683,0.052
80500,-0.622,0.044
81000,-0.526,0.05
81500,-0.646,0.05
82000,-0.579,0.042
82500,-0.722,0.054
83000,-0.572,0.078
83500,-0.763,0.044
84000,-0.515,0.056
84500,-0.626,0.056
85000,-0.564,0.056
85500,-0.539,0.05
86000,-0.574,0.054
86500,-0.465,0.064
87000,-0.383,0.084
87500,-0.797,0.038
88000,-0.607,0.048
88500,-0.695,0.054
89000,-0.634,0.036
89500,-0.552,0.078
90000,-0.581,0.048
90500,-0.587,0.072
91000,-0.538,0.048
91500,-0.782,0.056
92000,-0.586,0.062
92500,-0.52,0.06
93000,-0.513,0.074
93500,-0.588,0.062
94000,-0.691,0.054
94500,-0.448,0.066
95000,-0.491,0.084
95500,-0.503,0.086
96000,-0.517,0.062
96500,-0.476,0.066
97000,-0.564,0.062
97500,-0.49,0.084
98000,-0.528,0.078
98500,-0.558,0.066
99000,-0.502,0.076
99500,-0.496,0.08
100000,-0.496,0.072
