hand,avg_reward,win_rate
500,-0.707,0.008
1000,-0.492,0.056
1500,-0.483,0.086
2000,-0.399,0.114
2500,0.243,0.196
3000,0.185,0.212
3500,-0.207,0.194
4000,0.4,0.25
4500,0.089,0.242
5000,0.189,0.244
5500,-0.902,0.164
6000,-0.654,0.192
6500,-0.714,0.2
7000,-0.58,0.204
7500,-0.698,0.192
8000,-0.65,0.212
8500,-1.11,0.16
9000,-0.664,0.2
9500,-0.76,0.186
10000,-0.756,0.168
10500,-0.938,0.17
11000,-0.924,0.178
11500,-1.076,0.164
12000,-0.584,0.192
12500,-0.774,0.196
13000,-0.832,0.184
13500,-0.352,0.19
14000,-1.4,0.14
14500,-1.02,0.172
15000,-0.31,0.206
15500,-0.782,0.174
16000,-0.8,0.182
16500,-0.616,0.198
17000,-0.852,0.182
17500,-1.11,0.156
18000,-1.194,0.16
18500,-1.094,0.156
19000,-0.602,0.182
19500,-1.172,0.164
20000,-0.624,0.176
20500,-0.7,0.206
21000,-0.622,0.176
21500,-0.936,0.168
22000,-0.938,0.162
22500,-0.414,0.2
23000,-1.02,0.166
23500,-0.66,0.202
24000,-0.636,0.198
24500,-0.984,0.182
25000,-0.454,0.198
25500,-0.966,0.158
26000,-0.706,0.178
26500,-1.398,0.142
27000,-1.066,0.176
27500,-1.082,0.168
28000,-0.838,0.164
28500,-0.822,0.182
29000,-0.5,0.192
29500,-0.76,0.2
30000,-1.124,0.164
30500,-1.12,0.176
31000,-1.272,0.166
31500,-0.55,0.196
32000,-0.912,0.178
32500,-0.59,0.196
33000,-1.104,0.154
33500,-0.94,0.188
34000,-1.01,0.174
34500,-0.46,0.202
35000,-1.052,0.158
35500,-0.888,0.158
36000,-0.838,0.198
36500,-0.338,0.202
37000,-1.376,0.146
37500,-0.41,0.218
38000,-0.784,0.186
38500,-0.808,0.154
39000,-0.582,0.192
39500,-0.544,0.182
40000,-0.942,0.174
40500,-0.706,0.184
41000,-0.61,0.2
41500,-0.796,0.19
42000,-1.0,0.156
42500,-1.016,0.166
43000,-0.512,0.2
43500,-0.752,0.168
44000,-1.026,0.182
44500,-1.088,0.166
45000,-1.21,0.138
45500,-1.082,0.156
46000,-1.146,0.16
46500,-1.032,0.172
47000,-1.322,0.168
47500,-1.1,0.172
48000,-0.962,0.17
48500,-1.168,0.182
49000,-0.394,0.21
49500,-1.092,0.168
50000,-0.866,0.17
50500,-0.85,0.202
51000,-0.992,0.18
51500,-1.298,0.144
52000,-0.802,0.192
52500,-0.928,0.172
53000,-0.874,0.186
53500,-0.972,0.176
54000,-1.168,0.152
54500,-0.958,0.182
55000,-1.268,0.156
55500,-0.726,0.184
56000,-0.742,0.182
56500,-0.742,0.172
57000,-0.794,0.2
57500,-0.78,0.18
58000,-0.664,0.186
58500,-1.128,0.154
59000,-0.878,0.18
59500,-0.868,0.168
60000,-0.684,0.2
60500,-0.92,0.164
61000,-1.146,0.178
61500,-1.124,0.168
62000,-0.904,0.17
