hand,avg_reward,win_rate
500,-0.744,0.012
1000,-0.679,0.036
1500,-0.432,0.098
2000,-0.31,0.124
2500,0.046,0.18
3000,0.524,0.242
3500,0.376,0.238
4000,0.319,0.258
4500,0.758,0.278
5000,0.718,0.276
5500,0.412,0.274
6000,0.91,0.3
6500,0.544,0.286
7000,0.334,0.258
7500,0.413,0.27
8000,0.664,0.296
8500,0.592,0.264
9000,0.276,0.258
9500,0.754,0.284
10000,0.384,0.258
10500,0.732,0.282
11000,0.776,0.294
11500,0.832,0.294
12000,0.488,0.282
12500,0.186,0.24
13000,0.622,0.28
13500,0.746,0.29
14000,0.552,0.262
14500,0.602,0.274
15000,0.488,0.276
15500,0.724,0.28
16000,0.774,0.28
16500,0.572,0.264
17000,0.368,0.284
17500,0.582,0.282
18000,0.446,0.262
18500,0.912,0.308
19000,0.32,0.242
19500,0.746,0.268
20000,0.636,0.28
20500,0.618,0.284
21000,0.704,0.296
21500,0.966,0.304
22000,0.456,0.272
22500,0.7,0.296
23000,0.528,0.272
23500,0.06,0.25
24000,0.634,0.294
24500,0.432,0.266
25000,0.722,0.296
25500,0.472,0.268
26000,0.072,0.23
26500,0.584,0.296
27000,0.364,0.262
27500,0.458,0.27
28000,0.25,0.246
28500,0.51,0.262
29000,0.674,0.276
29500,0.4,0.266
30000,0.858,0.288
30500,0.696,0.296
31000,0.59,0.28
31500,0.64,0.298
32000,0.378,0.26
32500,0.598,0.274
33000,0.874,0.302
33500,0.802,0.288
34000,0.32,0.236
34500,0.644,0.28
35000,0.83,0.318
35500,0.634,0.286
36000,0.644,0.294
36500,0.59,0.278
37000,0.574,0.266
37500,0.266,0.238
38000,0.402,0.272
38500,0.588,0.286
39000,0.478,0.262
39500,0.968,0.32
40000,0.684,0.282
40500,0.618,0.288
41000,0.62,0.268
41500,0.26,0.26
42000,0.37,0.268
42500,0.664,0.288
43000,0.724,0.278
43500,0.924,0.292
44000,0.246,0.26
44500,0.174,0.24
45000,0.25,0.248
45500,0.44,0.27
46000,0.722,0.292
46500,0.25,0.256
47000,0.502,0.282
47500,0.666,0.28
48000,0.056,0.234
48500,0.916,0.288
49000,0.74,0.254
49500,0.586,0.296
50000,0.59,0.282
50500,0.446,0.272
51000,0.622,0.266
51500,0.496,0.258
52000,0.49,0.286
52500,0.884,0.292
53000,0.236,0.256
53500,0.484,0.256
54000,0.594,0.282
54500,0.526,0.256
55000,0.538,0.282
55500,0.542,0.256
56000,0.536,0.258
56500,0.252,0.258
57000,0.664,0.266
57500,0.356,0.27
58000,0.424,0.276
58500,0.684,0.29
59000,0.646,0.288
59500,0.136,0.244
60000,0.582,0.272
60500,0.414,0.262
61000,0.05,0.242
61500,0.368,0.234
62000,0.226,0.248
62500,0.244,0.274
63000,0.628,0.274
63500,0.74,0.286
64000,0.532,0.272
64500,0.576,0.284
65000,0.256,0.238
65500,0.292,0.248
66000,0.464,0.288
66500,0.272,0.282
67000,0.676,0.296
67500,0.92,0.316
68000,0.364,0.252
68500,0.27,0.246
69000,0.764,0.302
69500,0.508,0.266
70000,0.374,0.258
70500,0.412,0.282
71000,0.55,0.268
71500,0.706,0.298
72000,0.308,0.244
72500,0.566,0.258
73000,0.264,0.27
73500,0.364,0.272
74000,0.694,0.274
74500,0.258,0.246
75000,0.656,0.274
75500,0.836,0.3
76000,0.622,0.262
76500,0.34,0.28
77000,0.616,0.274
77500,0.9,0.296
78000,1.006,0.302
78500,0.384,0.276
79000,0.504,0.276
79500,0.506,0.258
80000,0.606,0.274
80500,0.474,0.276
81000,1.08,0.296
81500,0.636,0.264
82000,-0.12,0.234
82500,0.996,0.302
83000,0.5,0.246
83500,0.632,0.246
84000,0.366,0.236
84500,0.544,0.272
85000,0.272,0.256
85500,0.854,0.3
86000,0.434,0.242
86500,0.256,0.246
87000,0.43,0.26
87500,0.176,0.256
88000,0.726,0.274
88500,-0.064,0.23
89000,0.528,0.266
89500,0.47,0.264
90000,0.646,0.304
90500,0.526,0.276
91000,0.892,0.292
91500,0.904,0.296
92000,0.428,0.278
92500,0.208,0.25
93000,0.834,0.292
93500,0.392,0.266
94000,0.858,0.278
94500,0.51,0.27
95000,0.766,0.286
95500,0.112,0.23
96000,0.472,0.268
96500,0.244,0.252
97000,0.252,0.248
97500,0.8,0.324
98000,0.958,0.282
98500,0.168,0.26
99000,0.526,0.268
99500,0.466,0.286
100000,0.706,0.286
100500,0.75,0.292
101000,-0.016,0.232
101500,0.488,0.282
102000,0.748,0.27
102500,0.88,0.288
103000,0.8,0.308
103500,0.416,0.272
104000,0.976,0.288
104500,0.476,0.272
105000,0.622,0.278
105500,0.592,0.282
106000,0.734,0.286
106500,0.59,0.274
107000,0.334,0.284
107500,0.476,0.254
108000,0.362,0.244
108500,0.31,0.266
109000,0.948,0.286
109500,0.54,0.248
110000,0.118,0.242
110500,0.562,0.262
111000,0.7,0.298
111500,-0.134,0.228
112000,0.538,0.256
112500,0.43,0.268
113000,0.432,0.27
113500,0.676,0.27
114000,0.754,0.294
114500,0.51,0.27
115000,0.908,0.298
115500,-0.098,0.238
116000,0.816,0.284
116500,0.258,0.238
117000,0.388,0.26
117500,0.026,0.24
118000,0.684,0.286
118500,0.53,0.264
119000,0.128,0.244
119500,0.384,0.252
120000,0.508,0.272
120500,1.274,0.326
121000,0.486,0.27
121500,0.176,0.242
122000,0.262,0.27
122500,0.674,0.28
123000,0.46,0.258
123500,0.508,0.256
124000,0.432,0.27
124500,0.442,0.288
125000,0.52,0.266
125500,-0.172,0.248
126000,0.764,0.308
126500,0.23,0.256
127000,0.242,0.264
127500,0.554,0.264
128000,0.714,0.276
128500,0.174,0.248
129000,0.844,0.28
129500,0.64,0.282
130000,0.372,0.27
130500,0.43,0.278
131000,0.49,0.252
131500,0.52,0.292
132000,0.54,0.284
132500,0.084,0.252
133000,0.372,0.274
133500,0.676,0.294
134000,0.544,0.268
134500,0.614,0.262
135000,0.704,0.296
135500,0.494,0.266
136000,0.444,0.262
136500,0.448,0.274
137000,0.216,0.256
137500,0.632,0.28
138000,0.306,0.264
138500,1.252,0.318
139000,0.936,0.32
139500,0.858,0.282
140000,0.818,0.29
140500,0.72,0.296
141000,0.494,0.258
141500,0.674,0.262
142000,0.56,0.286
142500,1.192,0.314
143000,0.524,0.26
143500,0.516,0.264
144000,0.51,0.258
144500,0.428,0.268
