hand,avg_reward,win_rate
500,-0.794,0.0
1000,-0.716,0.002
1500,-0.763,0.0
2000,-0.697,0.002
2500,-0.805,0.006
3000,-0.809,0.004
3500,-0.683,0.01
4000,-0.704,0.006
4500,-0.827,0.0
5000,-0.7,0.0
5500,-0.744,0.006
6000,-0.647,0.012
6500,-0.744,0.002
7000,-0.686,0.006
7500,-0.595,0.01
8000,-0.635,0.01
8500,-0.656,0.002
9000,-0.685,0.01
9500,-0.677,0.004
10000,-0.762,0.006
10500,-0.781,0.008
11000,-0.717,0.014
11500,-0.736,0.002
12000,-0.699,0.01
12500,-0.754,0.002
13000,-0.751,0.008
13500,-0.771,0.002
14000,-0.733,0.012
14500,-0.666,0.008
15000,-0.781,0.008
15500,-0.715,0.004
16000,-0.594,0.006
16500,-0.715,0.012
17000,-0.729,0.008
17500,-0.681,0.008
18000,-0.7,0.008
18500,-0.664,0.01
19000,-0.818,0.004
19500,-0.756,0.004
20000,-0.803,0.008
20500,-0.671,0.012
21000,-0.747,0.004
21500,-0.716,0.01
22000,-0.816,0.008
22500,-0.666,0.01
23000,-0.79,0.006
23500,-0.536,0.016
24000,-0.851,0.006
24500,-0.738,0.018
25000,-0.821,0.008
25500,-0.687,0.008
26000,-0.788,0.008
26500,-0.706,0.014
27000,-0.705,0.018
27500,-0.86,0.01
28000,-0.69,0.012
28500,-0.777,0.01
29000,-0.577,0.024
29500,-0.747,0.006
30000,-0.804,0.014
30500,-0.703,0.012
31000,-0.642,0.018
31500,-0.843,0.018
32000,-0.752,0.014
32500,-0.681,0.008
33000,-0.933,0.012
33500,-0.744,0.018
34000,-0.815,0.01
34500,-0.81,0.012
35000,-0.716,0.006
35500,-0.785,0.008
36000,-0.689,0.018
36500,-0.689,0.018
37000,-0.773,0.014
37500,-0.733,0.018
38000,-0.744,0.014
38500,-0.724,0.018
39000,-0.655,0.02
39500,-0.734,0.026
40000,-0.737,0.008
40500,-0.89,0.012
41000,-0.647,0.04
41500,-0.776,0.03
42000,-0.747,0.012
42500,-0.636,0.018
43000,-0.599,0.024
43500,-0.698,0.024
44000,-0.682,0.018
44500,-0.709,0.022
45000,-0.763,0.024
45500,-0.808,0.034
46000,-0.731,0.022
46500,-0.636,0.02
47000,-0.617,0.028
47500,-0.727,0.022
48000,-0.76,0.036
48500,-0.729,0.022
49000,-0.791,0.018
49500,-0.601,0.022
50000,-0.704,0.028
50500,-0.778,0.024
51000,-0.64,0.016
51500,-0.697,0.024
52000,-0.564,0.04
52500,-0.59,0.03
53000,-0.659,0.032
53500,-0.668,0.026
54000,-0.645,0.028
54500,-0.613,0.036
55000,-0.752,0.026
55500,-0.763,0.026
