hand,avg_reward,win_rate
500,-0.777,0.002
1000,-0.714,0.004
1500,-0.769,0.002
2000,-0.758,0.004
2500,-0.771,0.006
3000,-0.784,0.002
3500,-0.745,0.0
4000,-0.741,0.002
4500,-0.733,0.004
5000,-0.755,0.006
5500,-0.681,0.006
6000,-0.797,0.002
6500,-0.694,0.01
7000,-0.726,0.004
7500,-0.672,0.006
8000,-0.693,0.008
8500,-0.745,0.006
9000,-0.679,0.008
9500,-0.82,0.004
10000,-0.69,0.004
10500,-0.737,0.002
11000,-0.801,0.004
11500,-0.777,0.002
12000,-0.754,0.004
12500,-0.761,0.006
13000,-0.728,0.006
13500,-0.686,0.014
14000,-0.677,0.008
14500,-0.804,0.006
15000,-0.761,0.01
15500,-0.76,0.002
16000,-0.681,0.008
16500,-0.724,0.006
17000,-0.763,0.006
17500,-0.645,0.01
18000,-0.719,0.008
18500,-0.631,0.014
19000,-0.748,0.018
19500,-0.811,0.014
20000,-0.714,0.01
20500,-0.845,0.006
21000,-0.899,0.006
21500,-0.784,0.012
22000,-0.741,0.006
22500,-0.73,0.012
23000,-0.777,0.014
23500,-0.714,0.01
24000,-0.889,0.006
24500,-0.671,0.016
25000,-0.782,0.008
25500,-0.732,0.008
26000,-0.613,0.016
26500,-0.902,0.006
27000,-0.706,0.02
27500,-0.652,0.016
28000,-0.652,0.016
28500,-0.682,0.006
29000,-0.752,0.016
29500,-0.703,0.022
30000,-0.598,0.026
30500,-0.838,0.012
31000,-0.756,0.01
31500,-0.796,0.016
32000,-0.705,0.014
32500,-0.644,0.02
33000,-0.681,0.012
33500,-0.764,0.014
34000,-0.755,0.026
34500,-0.791,0.014
35000,-0.751,0.01
35500,-0.773,0.02
36000,-0.627,0.012
36500,-0.753,0.016
37000,-0.717,0.012
37500,-0.66,0.02
38000,-0.83,0.014
38500,-0.773,0.016
39000,-0.774,0.014
39500,-0.708,0.012
40000,-0.649,0.016
40500,-0.673,0.014
41000,-0.626,0.03
41500,-0.779,0.01
42000,-0.692,0.022
42500,-0.824,0.01
43000,-0.774,0.028
43500,-0.682,0.018
44000,-0.603,0.034
44500,-0.657,0.016
45000,-0.62,0.036
45500,-0.649,0.028
46000,-0.577,0.028
46500,-0.748,0.02
47000,-0.667,0.028
47500,-0.655,0.036
48000,-0.774,0.012
48500,-0.622,0.026
49000,-0.619,0.036
49500,-0.787,0.026
50000,-0.599,0.032
50500,-0.647,0.032
51000,-0.72,0.02
51500,-0.737,0.026
52000,-0.801,0.022
52500,-0.742,0.026
53000,-0.558,0.024
53500,-0.7,0.026
54000,-0.702,0.028
54500,-0.708,0.028
55000,-0.79,0.026
55500,-0.602,0.034
56000,-0.702,0.028
56500,-0.715,0.024
57000,-0.827,0.026
57500,-0.636,0.026
58000,-0.533,0.032
58500,-0.788,0.018
59000,-0.792,0.026
59500,-0.564,0.046
60000,-0.622,0.04
60500,-0.603,0.036
61000,-0.655,0.04
61500,-0.696,0.042
62000,-0.719,0.04
62500,-0.63,0.044
63000,-0.625,0.034
63500,-0.807,0.042
64000,-0.607,0.038
64500,-0.521,0.05
65000,-0.606,0.03
65500,-0.581,0.038
66000,-0.482,0.06
66500,-0.62,0.052
67000,-0.761,0.044
67500,-0.661,0.032
68000,-0.516,0.042
68500,-0.652,0.048
69000,-0.677,0.04
69500,-0.495,0.056
70000,-0.579,0.042
70500,-0.688,0.046
71000,-0.511,0.038
71500,-0.582,0.062
72000,-0.652,0.038
72500,-0.501,0.046
73000,-0.514,0.058
73500,-0.757,0.042
74000,-0.528,0.052
74500,-0.597,0.034
75000,-0.569,0.05
75500,-0.819,0.032
76000,-0.613,0.042
76500,-0.531,0.058
77000,-0.715,0.044
77500,-0.402,0.084
78000,-0.726,0.04
78500,-0.585,0.044
79000,-0.542,0.06
79500,-0.765,0.038
80000,-0.798,0.034
80500,-0.53,0.07
81000,-0.498,0.056
81500,-0.812,0.038
82000,-0.616,0.034
82500,-0.419,0.074
83000,-0.453,0.056
83500,-0.493,0.062
84000,-0.747,0.052
84500,-0.583,0.064
85000,-0.433,0.076
85500,-0.437,0.076
86000,-0.67,0.054
86500,-0.645,0.054
87000,-0.522,0.076
87500,-0.505,0.062
88000,-0.63,0.058
88500,-0.751,0.044
89000,-0.485,0.074
89500,-0.508,0.07
90000,-0.621,0.054
90500,-0.714,0.054
91000,-0.474,0.072
91500,-0.672,0.05
92000,-0.51,0.062
92500,-0.615,0.05
93000,-0.523,0.064
93500,-0.6,0.056
94000,-0.539,0.052
94500,-0.512,0.066
95000,-0.483,0.074
95500,-0.603,0.064
96000,-0.532,0.068
96500,-0.359,0.088
97000,-0.458,0.074
97500,-0.544,0.074
98000,-0.384,0.072
98500,-0.425,0.07
99000,-0.532,0.078
99500,-0.557,0.074
100000,-0.36,0.082
