hand,avg_reward,win_rate
500,-0.665,0.006
1000,-0.688,0.0
1500,-0.835,0.004
2000,-0.668,0.008
2500,-0.685,0.01
3000,-0.569,0.006
3500,-0.585,0.026
4000,-0.707,0.014
4500,-0.633,0.02
5000,-0.637,0.02
5500,-0.605,0.038
6000,-0.7,0.03
6500,-0.701,0.046
7000,-0.591,0.05
7500,-0.616,0.044
8000,-0.446,0.054
8500,-0.605,0.048
9000,-0.501,0.072
9500,-0.425,0.068
10000,-0.562,0.062
10500,-0.578,0.068
11000,-0.346,0.088
11500,-0.418,0.086
12000,-0.42,0.118
12500,-0.477,0.096
13000,-0.317,0.114
13500,-0.573,0.106
14000,-0.347,0.106
14500,-0.517,0.114
15000,-0.321,0.126
15500,-0.487,0.104
16000,-0.483,0.108
16500,-0.54,0.116
17000,-0.338,0.128
17500,-0.303,0.142
18000,-0.166,0.138
18500,-0.005,0.186
19000,-0.104,0.154
19500,-0.456,0.134
20000,-0.16,0.164
20500,-0.217,0.17
21000,-0.312,0.176
21500,-0.291,0.174
22000,-0.025,0.184
22500,0.124,0.228
23000,-0.156,0.192
23500,-0.146,0.2
24000,-0.177,0.168
24500,-0.145,0.198
25000,-0.185,0.216
25500,-0.196,0.174
26000,-0.139,0.194
26500,-0.001,0.206
27000,-0.109,0.23
27500,-0.116,0.194
28000,0.06,0.226
28500,0.047,0.218
29000,-0.147,0.22
29500,0.12,0.246
30000,-0.174,0.22
30500,-0.059,0.224
31000,0.073,0.222
31500,0.085,0.212
32000,-0.253,0.216
32500,-0.099,0.22
33000,-0.056,0.2
33500,-0.145,0.234
34000,-0.304,0.206
34500,0.09,0.238
35000,-0.014,0.246
35500,0.063,0.254
36000,-0.109,0.248
36500,-0.196,0.226
37000,0.04,0.23
37500,-0.056,0.236
38000,-0.059,0.246
38500,-0.055,0.252
39000,-0.235,0.242
39500,-0.053,0.25
40000,0.167,0.242
40500,-0.2,0.244
41000,0.068,0.292
41500,-0.042,0.236
42000,-0.128,0.222
42500,0.13,0.26
43000,-0.01,0.22
43500,-0.031,0.266
44000,0.038,0.226
44500,0.078,0.272
45000,-0.133,0.256
45500,-0.028,0.246
46000,0.017,0.272
46500,-0.197,0.24
47000,-0.124,0.27
47500,-0.183,0.24
48000,0.045,0.24
48500,0.036,0.276
49000,0.033,0.24
49500,0.079,0.274
50000,-0.054,0.26
50500,-0.138,0.254
51000,0.018,0.234
51500,0.066,0.248
52000,-0.1,0.258
52500,0.097,0.254
53000,-0.095,0.23
53500,0.044,0.25
54000,0.065,0.264
54500,0.138,0.256
55000,0.034,0.254
55500,-0.216,0.238
56000,0.108,0.246
56500,0.052,0.25
57000,-0.067,0.222
57500,-0.16,0.22
58000,0.045,0.304
58500,0.284,0.264
59000,-0.003,0.254
59500,0.12,0.26
60000,0.181,0.258
60500,-0.044,0.244
61000,0.007,0.23
61500,-0.164,0.236
62000,-0.208,0.204
62500,-0.058,0.236
63000,-0.039,0.268
63500,0.008,0.272
64000,0.054,0.246
64500,0.134,0.28
65000,0.146,0.272
65500,-0.134,0.236
66000,-0.042,0.286
66500,0.152,0.256
67000,0.05,0.306
67500,-0.034,0.262
68000,0.152,0.274
68500,-0.006,0.254
69000,0.116,0.236
69500,-0.042,0.244
70000,0.054,0.23
70500,-0.106,0.258
71000,0.116,0.252
71500,-0.05,0.244
72000,0.044,0.258
72500,0.252,0.258
73000,-0.304,0.22
73500,0.172,0.278
74000,0.04,0.256
74500,0.114,0.272
75000,-0.09,0.244
75500,0.208,0.272
76000,0.084,0.272
76500,0.29,0.276
77000,-0.01,0.258
77500,-0.084,0.26
78000,0.174,0.288
78500,-0.016,0.23
79000,0.626,0.288
79500,-0.136,0.238
80000,0.232,0.274
80500,0.126,0.268
81000,0.302,0.266
81500,0.086,0.244
82000,0.092,0.26
82500,-0.066,0.244
83000,0.178,0.248
83500,-0.132,0.232
84000,-0.236,0.228
84500,0.178,0.282
85000,-0.065,0.264
85500,0.024,0.264
86000,-0.27,0.252
86500,0.234,0.264
87000,0.11,0.234
87500,-0.272,0.23
88000,0.052,0.272
88500,0.494,0.266
89000,-0.026,0.236
89500,0.118,0.256
90000,-0.448,0.188
90500,0.03,0.226
91000,0.226,0.254
91500,-0.428,0.228
92000,0.046,0.27
92500,-0.088,0.234
93000,-0.202,0.22
93500,0.144,0.274
94000,0.046,0.252
94500,-0.408,0.2
95000,-0.112,0.248
95500,-0.102,0.264
96000,0.222,0.256
96500,0.234,0.268
97000,-0.012,0.25
97500,0.062,0.262
98000,-0.02,0.26
98500,-0.158,0.252
99000,0.214,0.236
99500,0.048,0.254
100000,0.02,0.272
100500,0.04,0.248
101000,-0.296,0.24
101500,0.014,0.24
102000,0.102,0.26
102500,0.102,0.27
103000,0.182,0.242
103500,-0.186,0.228
104000,-0.112,0.236
104500,0.198,0.244
105000,0.268,0.3
105500,-0.31,0.224
106000,0.0,0.234
106500,0.084,0.234
107000,0.046,0.266
107500,-0.232,0.24
108000,-0.08,0.232
108500,0.14,0.268
109000,0.164,0.246
109500,-0.26,0.238
110000,-0.064,0.246
110500,0.116,0.254
111000,0.156,0.256
111500,0.26,0.268
112000,-0.21,0.236
112500,-0.062,0.24
113000,0.194,0.268
113500,0.53,0.272
114000,0.078,0.23
114500,-0.066,0.23
115000,-0.236,0.256
115500,-0.056,0.256
116000,-0.13,0.218
116500,-0.084,0.246
117000,0.314,0.28
117500,0.07,0.26
118000,-0.262,0.23
118500,-0.034,0.232
119000,-0.278,0.224
119500,0.102,0.258
120000,-0.052,0.238
120500,0.054,0.266
121000,-0.054,0.234
121500,0.072,0.254
122000,-0.28,0.25
122500,0.1,0.22
123000,-0.182,0.226
123500,0.034,0.244
124000,0.046,0.242
124500,-0.032,0.242
125000,0.0,0.248
125500,-0.22,0.224
126000,0.068,0.238
126500,-0.088,0.234
127000,-0.028,0.224
127500,-0.008,0.266
128000,0.51,0.256
128500,0.052,0.258
129000,0.03,0.246
129500,0.11,0.252
130000,-0.002,0.248
130500,0.064,0.252
131000,-0.034,0.238
131500,-0.17,0.236
132000,-0.204,0.224
132500,0.04,0.238
133000,0.054,0.256
133500,-0.024,0.25
134000,-0.16,0.236
134500,0.066,0.252
135000,-0.136,0.25
135500,0.028,0.254
136000,0.02,0.232
136500,-0.336,0.224
137000,0.14,0.244
137500,0.184,0.272
138000,-0.016,0.248
138500,0.16,0.266
139000,0.134,0.266
139500,0.328,0.28
140000,0.022,0.24
140500,-0.34,0.244
141000,-0.038,0.266
141500,-0.31,0.212
142000,-0.046,0.256
142500,0.146,0.28
143000,-0.268,0.224
143500,0.136,0.272
144000,0.236,0.266
144500,-0.116,0.242
145000,0.062,0.248
145500,-0.186,0.256
146000,0.224,0.25
146500,-0.134,0.24
147000,-0.232,0.224
147500,-0.092,0.242
148000,-0.306,0.21
148500,0.11,0.244
149000,0.034,0.252
149500,-0.096,0.238
150000,0.034,0.256
150500,-0.386,0.23
151000,0.142,0.228
151500,0.132,0.252
152000,0.364,0.256
152500,-0.144,0.238
153000,0.106,0.232
153500,-0.444,0.208
154000,-0.148,0.226
154500,0.08,0.25
155000,0.024,0.252
155500,0.046,0.276
156000,-0.254,0.238
156500,0.016,0.238
157000,-0.426,0.218
157500,-0.252,0.224
158000,-0.292,0.248
158500,-0.104,0.24
159000,-0.212,0.236
159500,-0.276,0.242
160000,-0.08,0.25
160500,0.08,0.232
161000,0.282,0.24
161500,0.002,0.24
162000,-0.158,0.22
162500,0.196,0.256
163000,-0.018,0.242
163500,0.06,0.274
164000,-0.402,0.23
164500,0.442,0.286
165000,-0.028,0.244
165500,-0.216,0.236
166000,0.208,0.278
166500,-0.084,0.252
167000,0.376,0.288
167500,-0.112,0.24
168000,0.342,0.286
168500,-0.07,0.238
169000,0.234,0.238
169500,0.212,0.28
170000,0.098,0.232
170500,0.268,0.258
171000,-0.088,0.256
171500,0.218,0.27
172000,0.232,0.272
172500,-0.306,0.244
173000,-0.054,0.23
173500,-0.424,0.23
174000,-0.024,0.234
174500,0.03,0.254
175000,0.134,0.26
175500,-0.014,0.268
176000,-0.038,0.242
176500,-0.198,0.234
177000,-0.022,0.252
177500,-0.2,0.246
178000,0.028,0.252
178500,0.032,0.244
179000,0.162,0.262
179500,0.146,0.25
180000,-0.112,0.254
180500,-0.348,0.232
181000,0.19,0.268
181500,0.168,0.274
182000,-0.236,0.232
182500,-0.088,0.226
