hand,avg_reward,win_rate
500,-0.647,0.006
1000,-0.804,0.004
1500,-0.746,0.0
2000,-0.781,0.006
2500,-0.754,0.002
3000,-0.658,0.004
3500,-0.772,0.006
4000,-0.811,0.0
4500,-0.66,0.002
5000,-0.778,0.002
5500,-0.74,0.002
6000,-0.757,0.006
6500,-0.686,0.006
7000,-0.668,0.002
7500,-0.742,0.006
8000,-0.823,0.006
8500,-0.654,0.012
9000,-0.675,0.008
9500,-0.696,0.006
10000,-0.687,0.008
10500,-0.648,0.01
11000,-0.73,0.006
11500,-0.823,0.004
12000,-0.649,0.006
12500,-0.799,0.004
13000,-0.705,0.008
13500,-0.714,0.006
14000,-0.856,0.004
14500,-0.8,0.008
15000,-0.755,0.002
15500,-0.732,0.006
16000,-0.74,0.016
16500,-0.737,0.008
17000,-0.731,0.014
17500,-0.708,0.012
18000,-0.696,0.022
18500,-0.739,0.004
19000,-0.727,0.006
19500,-0.775,0.008
20000,-0.638,0.014
20500,-0.81,0.008
21000,-0.671,0.022
21500,-0.78,0.01
22000,-0.75,0.016
22500,-0.819,0.012
23000,-0.784,0.01
23500,-0.754,0.004
24000,-0.813,0.016
24500,-0.702,0.008
25000,-0.689,0.016
25500,-0.731,0.01
26000,-0.709,0.016
26500,-0.757,0.012
27000,-0.768,0.018
27500,-0.587,0.016
28000,-0.629,0.016
28500,-0.722,0.01
29000,-0.699,0.006
29500,-0.586,0.022
30000,-0.659,0.006
30500,-0.678,0.016
31000,-0.621,0.012
31500,-0.704,0.01
32000,-0.692,0.016
32500,-0.575,0.028
33000,-0.763,0.018
33500,-0.684,0.016
34000,-0.707,0.014
34500,-0.829,0.006
35000,-0.691,0.018
35500,-0.719,0.012
36000,-0.734,0.016
36500,-0.795,0.016
37000,-0.786,0.016
37500,-0.809,0.012
38000,-0.701,0.02
38500,-0.75,0.016
39000,-0.584,0.024
39500,-0.897,0.014
40000,-0.747,0.022
40500,-0.604,0.026
41000,-0.926,0.02
41500,-0.68,0.022
42000,-0.617,0.026
42500,-0.678,0.03
43000,-0.629,0.026
43500,-0.592,0.03
44000,-0.869,0.014
44500,-0.624,0.03
45000,-0.803,0.012
45500,-0.747,0.02
46000,-0.806,0.022
46500,-0.614,0.032
47000,-0.828,0.01
47500,-0.565,0.024
48000,-0.654,0.032
48500,-0.498,0.036
49000,-0.743,0.024
49500,-0.635,0.022
50000,-0.75,0.018
50500,-0.876,0.02
51000,-0.724,0.02
51500,-0.685,0.022
52000,-0.772,0.036
52500,-0.751,0.028
53000,-0.75,0.024
53500,-0.597,0.038
54000,-0.827,0.028
54500,-0.694,0.026
55000,-0.634,0.026
55500,-0.632,0.032
56000,-0.712,0.02
56500,-0.766,0.016
57000,-0.679,0.036
57500,-0.711,0.022
58000,-0.68,0.02
58500,-0.847,0.03
59000,-0.582,0.038
59500,-0.532,0.038
60000,-0.719,0.036
60500,-0.612,0.042
61000,-0.648,0.036
61500,-0.685,0.044
62000,-0.623,0.034
62500,-0.556,0.03
63000,-0.763,0.022
63500,-0.728,0.026
64000,-0.633,0.04
64500,-0.622,0.046
65000,-0.589,0.038
65500,-0.593,0.044
66000,-0.615,0.03
66500,-0.774,0.028
67000,-0.63,0.052
67500,-0.659,0.042
68000,-0.629,0.044
68500,-0.705,0.06
69000,-0.495,0.056
69500,-0.665,0.032
70000,-0.788,0.03
70500,-0.627,0.038
71000,-0.686,0.034
71500,-0.682,0.042
72000,-0.612,0.048
72500,-0.615,0.044
73000,-0.709,0.036
73500,-0.678,0.044
74000,-0.485,0.052
74500,-0.64,0.046
75000,-0.674,0.04
75500,-0.597,0.048
76000,-0.813,0.046
76500,-0.781,0.05
77000,-0.74,0.042
77500,-0.59,0.052
78000,-0.515,0.05
78500,-0.603,0.05
79000,-0.647,0.048
79500,-0.755,0.048
80000,-0.787,0.042
80500,-0.68,0.044
