hand,avg_reward,win_rate
500,-0.723,0.004
1000,-0.717,0.008
1500,-0.737,0.0
2000,-0.782,0.002
2500,-0.857,0.0
3000,-0.722,0.002
3500,-0.802,0.0
4000,-0.894,0.0
4500,-0.723,0.0
5000,-0.685,0.0
5500,-0.695,0.004
6000,-0.795,0.002
6500,-0.726,0.002
7000,-0.763,0.004
7500,-0.782,0.002
8000,-0.752,0.0
8500,-0.759,0.002
9000,-0.854,0.0
9500,-0.755,0.0
10000,-0.732,0.002
10500,-0.801,0.006
11000,-0.74,0.0
11500,-0.774,0.004
12000,-0.756,0.006
12500,-0.689,0.0
13000,-0.78,0.0
13500,-0.667,0.006
14000,-0.643,0.006
14500,-0.719,0.002
15000,-0.755,0.004
15500,-0.718,0.004
16000,-0.77,0.002
16500,-0.689,0.004
17000,-0.731,0.008
17500,-0.642,0.01
18000,-0.708,0.0
18500,-0.713,0.004
19000,-0.734,0.004
19500,-0.721,0.006
20000,-0.736,0.006
20500,-0.778,0.002
21000,-0.719,0.012
21500,-0.781,0.008
22000,-0.745,0.01
22500,-0.707,0.006
23000,-0.786,0.0
23500,-0.779,0.0
24000,-0.752,0.004
24500,-0.708,0.006
25000,-0.72,0.004
25500,-0.86,0.006
26000,-0.754,0.002
26500,-0.822,0.008
27000,-0.738,0.004
27500,-0.712,0.004
28000,-0.749,0.002
28500,-0.973,0.0
29000,-0.729,0.01
29500,-0.769,0.008
30000,-0.761,0.004
30500,-0.585,0.014
31000,-0.874,0.008
31500,-0.626,0.004
32000,-0.792,0.008
32500,-0.763,0.012
33000,-0.78,0.008
33500,-0.745,0.012
34000,-0.842,0.002
34500,-0.757,0.004
35000,-0.671,0.01
35500,-0.753,0.008
36000,-0.748,0.002
36500,-0.764,0.006
37000,-0.704,0.002
37500,-0.669,0.004
38000,-0.685,0.01
38500,-0.73,0.006
39000,-0.808,0.002
39500,-0.624,0.012
40000,-0.771,0.004
40500,-0.727,0.008
41000,-0.751,0.014
41500,-0.735,0.004
42000,-0.729,0.006
42500,-0.7,0.014
43000,-0.694,0.006
43500,-0.738,0.018
44000,-0.683,0.016
44500,-0.748,0.014
45000,-0.64,0.016
45500,-0.878,0.012
46000,-0.768,0.006
46500,-0.809,0.008
47000,-0.696,0.008
47500,-0.644,0.02
48000,-0.869,0.004
48500,-0.728,0.008
49000,-0.744,0.008
49500,-0.721,0.008
50000,-0.794,0.014
50500,-0.823,0.008
51000,-0.799,0.008
51500,-0.698,0.01
52000,-0.718,0.014
52500,-0.822,0.014
53000,-0.781,0.008
53500,-0.755,0.016
54000,-0.717,0.004
54500,-0.656,0.016
55000,-0.702,0.016
55500,-0.734,0.008
56000,-0.696,0.012
56500,-0.794,0.01
57000,-0.694,0.026
57500,-0.758,0.02
58000,-0.73,0.012
58500,-0.642,0.02
59000,-0.9,0.008
59500,-0.743,0.014
60000,-0.705,0.018
60500,-0.644,0.018
61000,-0.704,0.018
61500,-0.768,0.012
62000,-0.765,0.006
62500,-0.757,0.016
63000,-0.773,0.012
63500,-0.769,0.02
64000,-0.566,0.012
64500,-0.686,0.02
65000,-0.803,0.014
65500,-0.757,0.016
66000,-0.675,0.02
66500,-0.717,0.02
67000,-0.779,0.016
67500,-0.667,0.01
68000,-0.805,0.01
68500,-0.624,0.018
69000,-0.635,0.018
69500,-0.78,0.024
70000,-0.711,0.018
70500,-0.725,0.022
71000,-0.743,0.024
71500,-0.705,0.012
72000,-0.62,0.02
72500,-0.685,0.014
73000,-0.726,0.018
73500,-0.693,0.012
74000,-0.751,0.018
74500,-0.545,0.03
75000,-0.671,0.022
75500,-0.854,0.006
76000,-0.693,0.014
76500,-0.754,0.02
77000,-0.737,0.024
77500,-0.69,0.022
78000,-0.824,0.018
78500,-0.651,0.028
79000,-0.575,0.03
79500,-0.647,0.02
80000,-0.52,0.032
80500,-0.471,0.032
81000,-0.681,0.014
81500,-0.718,0.012
82000,-0.651,0.018
82500,-0.794,0.016
83000,-0.681,0.012
83500,-0.601,0.026
84000,-0.651,0.022
84500,-0.711,0.028
85000,-0.805,0.012
85500,-0.763,0.014
86000,-0.733,0.022
86500,-0.654,0.022
87000,-0.733,0.032
87500,-0.686,0.014
88000,-0.605,0.022
88500,-0.648,0.026
89000,-0.731,0.014
89500,-0.725,0.018
90000,-0.68,0.02
90500,-0.695,0.024
91000,-0.723,0.024
91500,-0.491,0.036
92000,-0.839,0.016
92500,-0.646,0.024
93000,-0.674,0.026
93500,-0.66,0.034
94000,-0.747,0.03
94500,-0.688,0.022
95000,-0.712,0.028
95500,-0.584,0.024
96000,-0.783,0.014
96500,-0.604,0.032
97000,-0.644,0.03
97500,-0.805,0.032
98000,-0.714,0.024
98500,-0.586,0.026
99000,-0.719,0.024
99500,-0.702,0.026
100000,-0.504,0.034
100500,-0.678,0.026
101000,-0.759,0.026
101500,-0.736,0.032
102000,-0.638,0.03
102500,-0.738,0.022
103000,-0.746,0.03
103500,-0.67,0.022
104000,-0.619,0.024
104500,-0.708,0.022
105000,-0.806,0.03
105500,-0.647,0.04
106000,-0.674,0.028
106500,-0.8,0.024
107000,-0.712,0.022
107500,-0.724,0.038
108000,-0.727,0.03
108500,-0.613,0.03
109000,-0.645,0.036
109500,-0.667,0.042
110000,-0.611,0.044
110500,-0.711,0.024
111000,-0.663,0.016
111500,-0.648,0.034
112000,-0.71,0.026
112500,-0.669,0.04
113000,-0.704,0.032
113500,-0.54,0.028
114000,-0.823,0.032
114500,-0.587,0.034
