hand,avg_reward,win_rate
500,-0.73,0.004
1000,-0.594,0.008
1500,-0.671,0.0
2000,-0.635,0.004
2500,-0.748,0.008
3000,-0.733,0.0
3500,-0.626,0.012
4000,-0.772,0.002
4500,-0.794,0.004
5000,-0.761,0.002
5500,-0.807,0.004
6000,-0.804,0.006
6500,-0.739,0.006
7000,-0.711,0.004
7500,-0.676,0.0
8000,-0.766,0.008
8500,-0.761,0.01
9000,-0.664,0.004
9500,-0.821,0.004
10000,-0.676,0.004
10500,-0.668,0.004
11000,-0.75,0.006
11500,-0.716,0.004
12000,-0.852,0.0
12500,-0.732,0.004
13000,-0.756,0.004
13500,-0.737,0.004
14000,-0.766,0.002
14500,-0.777,0.006
15000,-0.694,0.008
15500,-0.717,0.006
16000,-0.651,0.006
16500,-0.692,0.002
17000,-0.782,0.002
17500,-0.695,0.006
18000,-0.861,0.006
18500,-0.84,0.002
19000,-0.771,0.002
19500,-0.727,0.01
20000,-0.761,0.006
20500,-0.759,0.006
21000,-0.678,0.0
21500,-0.857,0.002
22000,-0.788,0.012
22500,-0.825,0.01
23000,-0.672,0.008
23500,-0.718,0.004
24000,-0.765,0.0
24500,-0.639,0.006
25000,-0.799,0.0
25500,-0.789,0.0
26000,-0.664,0.014
26500,-0.662,0.016
27000,-0.674,0.008
27500,-0.749,0.006
28000,-0.788,0.006
28500,-0.7,0.01
29000,-0.672,0.002
29500,-0.743,0.006
30000,-0.821,0.008
30500,-0.754,0.01
31000,-0.826,0.004
31500,-0.685,0.006
32000,-0.611,0.002
32500,-0.756,0.008
33000,-0.678,0.004
33500,-0.701,0.01
34000,-0.695,0.008
34500,-0.716,0.014
35000,-0.653,0.018
35500,-0.79,0.002
36000,-0.675,0.022
36500,-0.714,0.004
37000,-0.722,0.008
37500,-0.789,0.002
38000,-0.788,0.004
38500,-0.699,0.01
39000,-0.606,0.016
39500,-0.78,0.004
40000,-0.797,0.006
40500,-0.699,0.004
41000,-0.714,0.002
41500,-0.727,0.004
42000,-0.79,0.004
42500,-0.638,0.016
43000,-0.742,0.006
43500,-0.691,0.014
44000,-0.643,0.01
44500,-0.846,0.004
45000,-0.719,0.008
45500,-0.836,0.004
46000,-0.656,0.018
46500,-0.72,0.012
47000,-0.812,0.008
47500,-0.675,0.008
48000,-0.791,0.01
48500,-0.704,0.012
49000,-0.728,0.006
49500,-0.773,0.01
50000,-0.834,0.006
50500,-0.778,0.012
51000,-0.685,0.018
51500,-0.558,0.016
52000,-0.639,0.022
52500,-0.606,0.014
53000,-0.62,0.022
53500,-0.748,0.02
54000,-0.749,0.016
54500,-0.71,0.01
55000,-0.709,0.01
55500,-0.82,0.008
56000,-0.889,0.006
56500,-0.691,0.018
57000,-0.648,0.014
57500,-0.789,0.008
58000,-0.638,0.022
58500,-0.625,0.024
59000,-0.63,0.018
59500,-0.593,0.014
60000,-0.657,0.022
60500,-0.652,0.02
61000,-0.649,0.024
61500,-0.736,0.018
62000,-0.708,0.008
62500,-0.731,0.008
63000,-0.756,0.002
63500,-0.794,0.012
64000,-0.567,0.018
64500,-0.708,0.014
65000,-0.722,0.022
65500,-0.867,0.006
66000,-0.682,0.01
66500,-0.768,0.012
67000,-0.732,0.022
67500,-0.692,0.014
68000,-0.749,0.018
68500,-0.664,0.018
69000,-0.842,0.014
69500,-0.617,0.02
70000,-0.755,0.012
70500,-0.677,0.016
71000,-0.877,0.01
71500,-0.782,0.012
72000,-0.614,0.018
72500,-0.677,0.01
73000,-0.735,0.016
73500,-0.728,0.024
74000,-0.625,0.03
74500,-0.803,0.02
75000,-0.779,0.012
75500,-0.845,0.012
76000,-0.712,0.012
76500,-0.627,0.03
77000,-0.597,0.018
77500,-0.598,0.032
78000,-0.657,0.02
78500,-0.723,0.028
79000,-0.595,0.016
79500,-0.642,0.016
80000,-0.805,0.024
80500,-0.565,0.022
81000,-0.597,0.03
81500,-0.691,0.022
82000,-0.744,0.02
82500,-0.528,0.03
83000,-0.762,0.028
83500,-0.671,0.03
84000,-0.579,0.034
84500,-0.7,0.014
85000,-0.662,0.018
85500,-0.679,0.016
86000,-0.681,0.02
86500,-0.688,0.032
87000,-0.606,0.03
87500,-0.657,0.034
88000,-0.651,0.028
88500,-0.608,0.026
89000,-0.585,0.038
89500,-0.728,0.018
90000,-0.643,0.018
90500,-0.687,0.016
91000,-0.652,0.024
91500,-0.715,0.024
92000,-0.594,0.034
92500,-0.757,0.032
93000,-0.622,0.03
93500,-0.738,0.018
94000,-0.662,0.038
94500,-0.591,0.032
95000,-0.861,0.024
95500,-0.712,0.016
96000,-0.671,0.026
96500,-0.693,0.022
97000,-0.709,0.022
97500,-0.688,0.024
98000,-0.769,0.028
98500,-0.677,0.03
99000,-0.574,0.036
99500,-0.656,0.036
100000,-0.662,0.034
100500,-0.648,0.03
101000,-0.618,0.034
101500,-0.591,0.03
102000,-0.586,0.022
102500,-0.724,0.036
103000,-0.739,0.032
103500,-0.783,0.02
104000,-0.517,0.048
104500,-0.668,0.036
105000,-0.575,0.036
105500,-0.732,0.024
106000,-0.661,0.022
106500,-0.61,0.036
107000,-0.627,0.03
107500,-0.667,0.032
108000,-0.662,0.044
108500,-0.653,0.038
109000,-0.524,0.044
109500,-0.654,0.022
110000,-0.823,0.02
110500,-0.821,0.028
111000,-0.744,0.024
111500,-0.688,0.034
112000,-0.523,0.032
112500,-0.726,0.038
113000,-0.642,0.024
113500,-0.837,0.028
114000,-0.686,0.032
114500,-0.63,0.032
115000,-0.454,0.042
115500,-0.59,0.04
116000,-0.663,0.028
116500,-0.688,0.03
117000,-0.613,0.036
117500,-0.71,0.032
118000,-0.588,0.034
118500,-0.584,0.04
119000,-0.615,0.034
119500,-0.627,0.042
120000,-0.615,0.028
120500,-0.749,0.026
121000,-0.515,0.052
121500,-0.637,0.03
122000,-0.773,0.032
122500,-0.723,0.028
123000,-0.736,0.048
123500,-0.675,0.024
124000,-0.623,0.044
124500,-0.714,0.032
125000,-0.501,0.046
125500,-0.66,0.032
126000,-0.51,0.042
126500,-0.655,0.028
127000,-0.653,0.044
127500,-0.366,0.042
128000,-0.624,0.036
128500,-0.566,0.038
129000,-0.566,0.042
129500,-0.718,0.038
130000,-0.669,0.028
130500,-0.473,0.052
131000,-0.594,0.038
131500,-0.577,0.042
132000,-0.733,0.036
132500,-0.652,0.042
133000,-0.589,0.054
133500,-0.574,0.042
134000,-0.67,0.054
134500,-0.721,0.04
135000,-0.568,0.04
135500,-0.748,0.028
136000,-0.636,0.04
136500,-0.668,0.032
137000,-0.638,0.04
137500,-0.556,0.048
138000,-0.612,0.042
138500,-0.555,0.052
139000,-0.599,0.046
139500,-0.549,0.056
140000,-0.625,0.026
140500,-0.532,0.05
141000,-0.636,0.042
141500,-0.683,0.046
142000,-0.461,0.068
142500,-0.622,0.042
143000,-0.671,0.042
143500,-0.637,0.052
144000,-0.759,0.048
144500,-0.534,0.06
145000,-0.648,0.044
145500,-0.45,0.044
146000,-0.653,0.046
146500,-0.64,0.042
147000,-0.678,0.042
147500,-0.848,0.046
148000,-0.774,0.024
148500,-0.561,0.052
149000,-0.575,0.044
149500,-0.581,0.056
150000,-0.485,0.048
150500,-0.527,0.058
151000,-0.556,0.054
151500,-0.585,0.044
152000,-0.563,0.04
152500,-0.708,0.052
153000,-0.602,0.05
153500,-0.623,0.052
154000,-0.591,0.048
154500,-0.543,0.06
155000,-0.719,0.032
155500,-0.539,0.042
156000,-0.493,0.054
156500,-0.578,0.048
157000,-0.454,0.064
157500,-0.489,0.052
158000,-0.572,0.05
158500,-0.515,0.062
159000,-0.723,0.054
159500,-0.44,0.054
160000,-0.629,0.05
160500,-0.523,0.06
161000,-0.503,0.058
161500,-0.581,0.06
162000,-0.552,0.066
162500,-0.55,0.064
163000,-0.683,0.052
163500,-0.536,0.06
164000,-0.563,0.06
164500,-0.625,0.05
165000,-0.331,0.072
165500,-0.672,0.044
166000,-0.686,0.038
166500,-0.695,0.044
167000,-0.449,0.044
167500,-0.355,0.08
168000,-0.526,0.062
168500,-0.462,0.064
169000,-0.544,0.054
169500,-0.634,0.064
170000,-0.581,0.06
170500,-0.565,0.08
171000,-0.389,0.07
171500,-0.502,0.056
172000,-0.564,0.052
172500,-0.694,0.046
173000,-0.465,0.056
173500,-0.572,0.08
174000,-0.47,0.054
174500,-0.725,0.056
175000,-0.598,0.062
175500,-0.546,0.074
176000,-0.443,0.07
176500,-0.57,0.056
177000,-0.561,0.048
177500,-0.722,0.054
178000,-0.643,0.06
178500,-0.372,0.094
179000,-0.543,0.07
179500,-0.672,0.06
180000,-0.601,0.054
180500,-0.579,0.06
181000,-0.359,0.076
181500,-0.442,0.064
182000,-0.533,0.07
182500,-0.479,0.064
183000,-0.522,0.054
183500,-0.284,0.098
184000,-0.65,0.074
184500,-0.56,0.066
185000,-0.588,0.058
185500,-0.5,0.048
186000,-0.441,0.07
186500,-0.59,0.054
187000,-0.59,0.064
187500,-0.606,0.074
188000,-0.57,0.058
188500,-0.532,0.074
189000,-0.395,0.084
189500,-0.321,0.088
190000,-0.368,0.082
190500,-0.474,0.058
191000,-0.51,0.064
191500,-0.419,0.086
192000,-0.555,0.066
192500,-0.266,0.1
193000,-0.531,0.072
193500,-0.375,0.098
194000,-0.318,0.106
194500,-0.726,0.066
195000,-0.431,0.1
195500,-0.57,0.07
196000,-0.36,0.07
196500,-0.368,0.086
197000,-0.407,0.084
197500,-0.366,0.084
198000,-0.554,0.074
198500,-0.559,0.062
199000,-0.305,0.09
199500,-0.473,0.082
200000,-0.404,0.084
200500,-0.495,0.068
201000,-0.499,0.08
201500,-0.616,0.078
202000,-0.316,0.084
202500,-0.435,0.088
203000,-0.524,0.062
203500,-0.441,0.096
204000,-0.351,0.086
204500,-0.452,0.07
205000,-0.495,0.086
205500,-0.473,0.08
206000,-0.403,0.108
206500,-0.329,0.096
207000,-0.498,0.06
207500,-0.574,0.07
208000,-0.359,0.1
208500,-0.544,0.088
209000,-0.453,0.086
209500,-0.451,0.084
210000,-0.396,0.072
210500,-0.318,0.078
211000,-0.252,0.092
211500,-0.193,0.096
212000,-0.631,0.068
212500,-0.326,0.09
213000,-0.485,0.088
213500,-0.297,0.094
214000,-0.419,0.084
214500,-0.511,0.08
215000,-0.363,0.096
215500,-0.241,0.106
216000,-0.433,0.094
216500,-0.278,0.098
217000,-0.505,0.078
217500,-0.413,0.084
218000,-0.39,0.094
218500,-0.446,0.1
219000,-0.294,0.09
219500,-0.443,0.08
220000,-0.217,0.122
220500,-0.396,0.074
221000,-0.581,0.068
221500,-0.329,0.082
222000,-0.407,0.096
222500,-0.493,0.078
223000,-0.38,0.114
223500,-0.482,0.06
224000,-0.497,0.08
224500,-0.502,0.078
225000,-0.369,0.102
225500,-0.26,0.108
226000,-0.423,0.082
226500,-0.346,0.112
227000,-0.157,0.134
227500,-0.44,0.088
228000,-0.379,0.09
228500,-0.308,0.104
229000,-0.412,0.084
229500,-0.282,0.096
230000,-0.428,0.074
230500,-0.314,0.104
231000,-0.386,0.104
231500,-0.493,0.082
232000,-0.389,0.09
232500,-0.356,0.116
233000,-0.265,0.106
233500,-0.407,0.08
234000,-0.477,0.076
234500,-0.326,0.11
235000,-0.534,0.082
235500,-0.417,0.094
236000,-0.549,0.096
236500,-0.326,0.108
237000,-0.311,0.11
237500,-0.358,0.114
238000,-0.194,0.096
238500,-0.123,0.116
239000,-0.321,0.112
239500,-0.348,0.102
240000,-0.403,0.1
240500,-0.31,0.114
241000,-0.251,0.108
241500,-0.474,0.102
242000,-0.241,0.098
242500,-0.261,0.112
243000,-0.45,0.1
243500,-0.291,0.098
244000,-0.433,0.096
244500,-0.523,0.08
245000,-0.305,0.11
245500,-0.429,0.098
246000,-0.159,0.118
246500,-0.35,0.104
247000,-0.381,0.124
247500,-0.322,0.112
248000,-0.376,0.104
248500,-0.098,0.136
249000,-0.31,0.1
249500,-0.282,0.12
250000,-0.271,0.102
250500,-0.369,0.088
251000,-0.492,0.104
251500,-0.363,0.11
252000,-0.277,0.136
252500,-0.364,0.106
253000,-0.289,0.108
253500,0.016,0.134
254000,-0.449,0.086
254500,-0.368,0.122
255000,-0.399,0.116
255500,-0.339,0.108
256000,-0.284,0.11
256500,-0.371,0.122
257000,-0.235,0.112
257500,-0.159,0.132
258000,-0.294,0.11
258500,-0.007,0.142
259000,-0.009,0.134
259500,-0.227,0.118
260000,-0.171,0.114
260500,-0.328,0.112
261000,-0.168,0.112
261500,-0.266,0.122
262000,-0.084,0.116
262500,-0.17,0.124
263000,-0.31,0.104
263500,-0.315,0.12
264000,-0.3,0.094
264500,-0.135,0.13
265000,-0.187,0.11
265500,-0.332,0.096
266000,-0.246,0.106
266500,-0.123,0.144
267000,-0.26,0.116
267500,-0.172,0.134
268000,-0.315,0.118
268500,-0.347,0.118
269000,-0.332,0.116
269500,-0.372,0.098
270000,-0.198,0.13
270500,-0.162,0.128
271000,-0.506,0.108
271500,-0.22,0.108
272000,-0.425,0.11
272500,-0.19,0.15
273000,-0.042,0.14
273500,-0.277,0.11
274000,-0.151,0.142
274500,-0.051,0.138
275000,-0.241,0.142
275500,-0.211,0.118
276000,-0.046,0.154
276500,-0.136,0.142
277000,-0.151,0.128
277500,-0.415,0.102
278000,-0.434,0.112
278500,-0.058,0.152
279000,-0.083,0.14
279500,-0.15,0.12
280000,-0.15,0.13
280500,-0.261,0.122
281000,-0.315,0.12
281500,-0.321,0.126
282000,-0.33,0.13
282500,-0.249,0.112
283000,-0.291,0.116
283500,-0.117,0.118
284000,-0.123,0.132
284500,-0.269,0.112
285000,-0.292,0.118
285500,-0.314,0.128
286000,-0.003,0.136
286500,-0.168,0.114
287000,-0.277,0.12
287500,-0.213,0.118
288000,0.049,0.152
288500,-0.132,0.136
289000,-0.253,0.134
289500,-0.071,0.144
290000,-0.12,0.134
290500,-0.218,0.126
291000,-0.053,0.156
291500,-0.123,0.16
292000,-0.485,0.096
292500,-0.128,0.142
293000,-0.362,0.11
