hand,avg_reward,win_rate
500,-0.69,0.002
1000,-0.699,0.006
1500,-0.661,0.004
2000,-0.696,0.002
2500,-0.596,0.002
3000,-0.733,0.004
3500,-0.654,0.006
4000,-0.73,0.002
4500,-0.714,0.004
5000,-0.845,0.002
5500,-0.762,0.004
6000,-0.709,0.006
6500,-0.693,0.0
7000,-0.752,0.004
7500,-0.804,0.004
8000,-0.686,0.004
8500,-0.675,0.002
9000,-0.71,0.004
9500,-0.781,0.01
10000,-0.843,0.004
10500,-0.779,0.004
11000,-0.741,0.012
11500,-0.667,0.004
12000,-0.733,0.008
12500,-0.652,0.006
13000,-0.756,0.006
13500,-0.717,0.014
14000,-0.724,0.008
14500,-0.713,0.01
15000,-0.705,0.006
15500,-0.765,0.01
16000,-0.802,0.002
16500,-0.78,0.01
17000,-0.689,0.008
17500,-0.652,0.012
18000,-0.849,0.006
18500,-0.653,0.008
19000,-0.694,0.008
19500,-0.635,0.004
20000,-0.708,0.008
20500,-0.878,0.0
21000,-0.802,0.006
21500,-0.707,0.006
22000,-0.711,0.004
22500,-0.736,0.01
23000,-0.663,0.016
23500,-0.701,0.02
24000,-0.743,0.01
24500,-0.779,0.012
25000,-0.855,0.01
25500,-0.78,0.006
26000,-0.745,0.006
26500,-0.738,0.01
27000,-0.794,0.006
27500,-0.7,0.01
28000,-0.744,0.008
28500,-0.841,0.006
29000,-0.655,0.022
29500,-0.694,0.02
30000,-0.77,0.014
30500,-0.676,0.014
31000,-0.738,0.024
31500,-0.849,0.008
32000,-0.815,0.01
32500,-0.508,0.018
33000,-0.707,0.024
33500,-0.716,0.02
34000,-0.838,0.008
34500,-0.656,0.024
35000,-0.72,0.018
35500,-0.724,0.012
36000,-0.825,0.01
36500,-0.706,0.016
37000,-0.754,0.018
37500,-0.649,0.018
38000,-0.722,0.012
38500,-0.855,0.02
39000,-0.657,0.018
39500,-0.667,0.018
40000,-0.799,0.014
40500,-0.825,0.02
41000,-0.813,0.008
41500,-0.697,0.02
42000,-0.692,0.01
42500,-0.737,0.024
43000,-0.782,0.02
43500,-0.646,0.016
44000,-0.669,0.02
44500,-0.81,0.026
45000,-0.716,0.034
45500,-0.65,0.024
46000,-0.631,0.03
46500,-0.635,0.034
47000,-0.661,0.04
47500,-0.774,0.028
48000,-0.66,0.024
48500,-0.713,0.016
49000,-0.638,0.024
49500,-0.597,0.03
50000,-0.846,0.014
50500,-0.758,0.034
51000,-0.674,0.03
51500,-0.679,0.036
52000,-0.703,0.024
52500,-0.731,0.036
53000,-0.63,0.03
53500,-0.723,0.03
54000,-0.762,0.034
54500,-0.762,0.022
55000,-0.703,0.022
55500,-0.692,0.032
56000,-0.826,0.02
56500,-0.778,0.026
57000,-0.712,0.024
57500,-0.751,0.016
58000,-0.721,0.018
58500,-0.588,0.034
59000,-0.72,0.032
59500,-0.787,0.036
60000,-0.783,0.03
60500,-0.758,0.024
61000,-0.551,0.032
61500,-0.507,0.058
62000,-0.608,0.034
62500,-0.766,0.036
63000,-0.73,0.036
63500,-0.605,0.038
64000,-0.568,0.044
64500,-0.719,0.04
65000,-0.562,0.048
65500,-0.721,0.042
66000,-0.663,0.046
66500,-0.433,0.038
67000,-0.78,0.034
67500,-0.736,0.042
68000,-0.649,0.038
68500,-0.824,0.03
69000,-0.754,0.026
69500,-0.71,0.034
70000,-0.706,0.028
70500,-0.685,0.036
71000,-0.632,0.046
71500,-0.65,0.038
72000,-0.567,0.048
72500,-0.584,0.04
73000,-0.613,0.052
73500,-0.689,0.04
74000,-0.616,0.054
74500,-0.521,0.052
75000,-0.752,0.04
75500,-0.607,0.04
76000,-0.812,0.046
76500,-0.7,0.05
77000,-0.593,0.044
77500,-0.67,0.044
78000,-0.605,0.046
78500,-0.643,0.058
79000,-0.626,0.054
79500,-0.668,0.058
80000,-0.52,0.046
80500,-0.613,0.042
81000,-0.654,0.036
81500,-0.691,0.058
82000,-0.629,0.04
82500,-0.525,0.078
83000,-0.56,0.062
83500,-0.646,0.062
84000,-0.502,0.058
84500,-0.63,0.05
85000,-0.795,0.04
85500,-0.521,0.056
86000,-0.678,0.068
86500,-0.755,0.038
87000,-0.545,0.044
87500,-0.483,0.058
88000,-0.87,0.048
88500,-0.519,0.054
89000,-0.497,0.072
89500,-0.738,0.052
90000,-0.709,0.062
90500,-0.677,0.038
91000,-0.574,0.052
91500,-0.622,0.058
92000,-0.647,0.06
92500,-0.801,0.058
93000,-0.693,0.042
93500,-0.626,0.062
94000,-0.525,0.07
94500,-0.671,0.052
95000,-0.486,0.068
95500,-0.33,0.094
96000,-0.527,0.07
96500,-0.631,0.062
97000,-0.488,0.074
97500,-0.568,0.084
98000,-0.532,0.068
98500,-0.728,0.07
99000,-0.562,0.072
99500,-0.612,0.064
100000,-0.76,0.054
