hand,avg_reward,win_rate
500,-0.814,0.016
1000,-0.582,0.054
1500,-0.585,0.082
2000,-0.22,0.146
2500,-0.037,0.194
3000,0.093,0.218
3500,0.4,0.252
4000,0.547,0.262
4500,0.514,0.252
5000,0.764,0.288
5500,0.668,0.28
6000,0.994,0.31
6500,0.666,0.262
7000,0.567,0.274
7500,0.436,0.28
8000,0.398,0.276
8500,0.836,0.302
9000,0.522,0.27
9500,0.31,0.28
10000,1.036,0.292
10500,0.786,0.29
11000,0.32,0.276
11500,0.448,0.254
12000,1.024,0.312
12500,0.4,0.282
13000,0.538,0.272
13500,0.604,0.274
14000,0.65,0.272
14500,0.45,0.276
15000,0.422,0.238
15500,0.62,0.304
16000,0.444,0.256
16500,0.82,0.3
17000,0.608,0.276
17500,0.458,0.272
18000,0.424,0.264
18500,0.904,0.292
19000,0.892,0.288
19500,0.59,0.288
20000,0.408,0.28
20500,0.45,0.266
21000,0.696,0.29
21500,1.136,0.33
22000,0.366,0.268
22500,1.286,0.346
23000,0.61,0.282
23500,0.894,0.286
24000,0.556,0.28
24500,0.248,0.264
25000,0.642,0.276
25500,0.798,0.296
26000,0.806,0.294
26500,0.672,0.288
27000,0.866,0.288
27500,0.836,0.268
28000,0.488,0.278
28500,0.208,0.224
29000,0.86,0.312
29500,0.974,0.29
30000,0.574,0.28
30500,0.98,0.318
31000,0.532,0.28
31500,0.42,0.248
32000,0.5,0.274
32500,0.746,0.284
33000,0.452,0.28
33500,1.04,0.312
34000,0.342,0.252
34500,0.926,0.292
35000,0.308,0.264
35500,1.042,0.31
36000,0.002,0.246
36500,0.974,0.326
37000,0.796,0.304
37500,0.954,0.288
38000,0.788,0.306
38500,0.736,0.286
39000,0.66,0.27
39500,0.61,0.28
40000,0.734,0.294
40500,0.292,0.268
41000,0.604,0.286
41500,0.656,0.296
42000,0.972,0.29
42500,0.432,0.25
43000,0.462,0.262
43500,0.8,0.302
44000,0.34,0.268
44500,0.47,0.28
45000,0.126,0.244
45500,0.394,0.27
46000,0.858,0.29
46500,0.95,0.31
47000,0.434,0.272
47500,0.714,0.292
48000,1.284,0.354
48500,0.384,0.272
49000,0.764,0.304
49500,0.872,0.284
50000,0.56,0.282
50500,0.808,0.3
51000,0.716,0.276
51500,0.606,0.254
52000,1.156,0.318
52500,0.464,0.266
53000,1.294,0.336
53500,0.992,0.314
54000,0.806,0.288
54500,0.466,0.254
55000,0.85,0.28
55500,0.396,0.266
56000,0.496,0.27
56500,0.69,0.306
57000,0.692,0.302
57500,0.754,0.288
58000,0.724,0.274
58500,0.808,0.302
59000,0.456,0.25
59500,0.564,0.278
60000,0.488,0.278
60500,0.91,0.298
61000,1.028,0.308
61500,0.678,0.304
62000,1.1,0.31
62500,0.652,0.28
63000,0.996,0.298
63500,0.62,0.286
64000,0.91,0.31
64500,0.646,0.3
65000,0.48,0.25
65500,0.624,0.31
66000,0.676,0.3
66500,0.784,0.3
67000,0.676,0.274
67500,0.738,0.276
68000,0.372,0.258
68500,0.816,0.286
69000,1.148,0.324
69500,1.244,0.346
70000,0.642,0.278
70500,0.528,0.276
71000,1.102,0.3
71500,0.606,0.27
72000,0.082,0.256
72500,0.502,0.276
73000,0.666,0.298
73500,0.89,0.282
74000,0.496,0.24
74500,0.546,0.27
75000,0.57,0.26
75500,0.592,0.284
76000,0.476,0.258
76500,0.596,0.264
77000,0.474,0.278
77500,0.822,0.296
78000,0.626,0.284
78500,0.79,0.302
79000,0.29,0.254
79500,0.712,0.292
80000,0.658,0.278
80500,0.802,0.302
81000,0.394,0.264
81500,1.156,0.358
82000,0.498,0.274
82500,0.98,0.328
83000,0.722,0.276
83500,0.716,0.296
84000,0.76,0.288
84500,0.716,0.276
85000,0.87,0.294
85500,0.87,0.288
86000,1.08,0.334
86500,0.324,0.242
87000,0.872,0.284
87500,1.078,0.306
88000,0.352,0.256
88500,0.822,0.298
89000,0.544,0.286
89500,0.616,0.248
90000,0.514,0.292
90500,0.572,0.248
91000,1.032,0.304
91500,0.634,0.278
92000,0.81,0.314
92500,0.744,0.278
93000,0.346,0.27
93500,0.602,0.276
94000,0.824,0.296
94500,1.518,0.35
95000,0.694,0.262
95500,0.478,0.276
96000,0.586,0.272
96500,0.798,0.324
97000,0.788,0.294
97500,0.946,0.304
98000,0.534,0.26
98500,0.21,0.25
99000,0.738,0.292
99500,1.076,0.322
100000,0.494,0.248
