hand,avg_reward,win_rate
500,-0.739,0.018
1000,-0.606,0.038
1500,-0.163,0.14
2000,-0.232,0.15
2500,-0.383,0.156
3000,0.223,0.23
3500,-0.264,0.188
4000,0.161,0.28
4500,0.065,0.214
5000,0.002,0.256
5500,0.566,0.294
6000,0.125,0.258
6500,0.18,0.25
7000,-0.118,0.258
7500,-0.104,0.242
8000,-0.08,0.254
8500,-0.232,0.256
9000,0.27,0.278
9500,-0.026,0.23
10000,0.246,0.252
10500,0.292,0.252
11000,-0.062,0.254
11500,0.03,0.258
12000,0.318,0.266
12500,0.038,0.24
13000,0.42,0.27
13500,0.396,0.276
14000,0.306,0.268
14500,0.218,0.264
15000,0.068,0.252
15500,0.596,0.282
16000,0.17,0.272
16500,-0.084,0.252
17000,0.11,0.262
17500,0.334,0.28
18000,-0.282,0.228
18500,-0.372,0.228
19000,0.198,0.27
19500,0.018,0.248
20000,0.218,0.258
20500,0.582,0.27
21000,-0.052,0.246
21500,0.31,0.26
22000,-0.186,0.248
22500,-0.014,0.256
23000,-0.04,0.24
23500,0.518,0.296
24000,0.18,0.244
24500,0.048,0.242
25000,-0.08,0.224
25500,-0.116,0.254
26000,0.384,0.262
26500,0.458,0.264
27000,0.558,0.294
27500,0.02,0.262
28000,-0.516,0.232
28500,0.112,0.262
29000,-0.26,0.234
29500,0.18,0.262
30000,0.378,0.274
30500,-0.288,0.224
31000,0.096,0.264
31500,-0.082,0.248
32000,-0.184,0.236
32500,-0.052,0.246
33000,0.502,0.276
33500,0.206,0.25
34000,0.448,0.284
34500,-0.036,0.232
35000,0.008,0.228
35500,0.246,0.246
36000,0.048,0.258
36500,0.088,0.248
37000,0.398,0.276
37500,0.05,0.248
38000,0.122,0.288
38500,0.378,0.292
39000,0.436,0.26
39500,-0.108,0.246
40000,-0.502,0.196
40500,-0.086,0.256
41000,0.232,0.272
41500,-0.278,0.244
42000,0.34,0.282
42500,0.038,0.262
43000,0.032,0.236
43500,-0.016,0.25
44000,0.284,0.264
44500,0.142,0.266
45000,0.078,0.258
45500,0.396,0.286
46000,0.214,0.264
46500,0.1,0.252
47000,-0.24,0.226
47500,0.078,0.266
48000,-0.114,0.23
48500,0.29,0.256
49000,-0.168,0.254
49500,-0.188,0.246
50000,0.108,0.27
50500,-0.226,0.266
51000,0.068,0.25
51500,0.15,0.276
52000,0.494,0.268
52500,-0.028,0.26
53000,0.2,0.258
53500,0.29,0.272
54000,-0.21,0.228
54500,-0.174,0.27
55000,0.216,0.26
55500,0.478,0.302
56000,-0.032,0.256
56500,0.266,0.274
57000,-0.122,0.252
57500,0.378,0.268
58000,0.166,0.24
58500,0.006,0.266
59000,-0.004,0.248
59500,-0.156,0.232
60000,0.076,0.268
60500,0.29,0.276
61000,0.398,0.274
61500,0.354,0.254
62000,0.716,0.296
62500,-0.142,0.248
63000,0.264,0.28
63500,0.164,0.26
64000,-0.386,0.212
64500,0.244,0.264
65000,0.1,0.276
65500,-0.034,0.228
66000,0.268,0.266
66500,-0.148,0.238
67000,0.214,0.28
67500,-0.344,0.23
68000,-0.182,0.242
68500,0.188,0.23
69000,0.384,0.274
69500,-0.094,0.242
70000,0.204,0.26
70500,0.088,0.252
71000,-0.046,0.236
71500,0.484,0.268
72000,0.626,0.288
72500,0.456,0.274
73000,0.178,0.26
73500,0.222,0.27
74000,0.186,0.238
74500,-0.146,0.252
75000,-0.04,0.228
75500,-0.206,0.234
76000,0.026,0.262
76500,0.392,0.28
77000,0.094,0.234
77500,0.266,0.248
78000,0.054,0.22
78500,-0.212,0.244
79000,-0.052,0.258
79500,0.136,0.258
80000,0.2,0.278
80500,0.472,0.278
81000,0.024,0.27
81500,0.172,0.248
82000,-0.236,0.228
82500,-0.012,0.256
83000,0.356,0.276
83500,0.646,0.316
84000,0.816,0.29
84500,-0.232,0.226
85000,0.25,0.268
85500,0.166,0.252
86000,-0.366,0.23
86500,0.186,0.25
87000,0.044,0.254
87500,0.022,0.228
88000,-0.282,0.226
88500,0.512,0.294
89000,0.552,0.302
89500,0.494,0.27
90000,-0.06,0.238
90500,0.102,0.268
91000,0.024,0.24
91500,0.266,0.266
92000,0.254,0.26
92500,-0.268,0.244
93000,0.39,0.266
93500,0.014,0.266
94000,0.004,0.244
94500,-0.164,0.266
95000,0.31,0.28
95500,-0.598,0.2
96000,0.194,0.264
96500,0.53,0.266
97000,0.36,0.282
97500,0.002,0.23
98000,0.056,0.262
98500,0.006,0.256
99000,0.654,0.282
99500,0.396,0.264
100000,-0.428,0.224
