hand,avg_reward,win_rate
500,-0.795,0.002
1000,-0.763,0.002
1500,-0.781,0.002
2000,-0.703,0.004
2500,-0.795,0.004
3000,-0.643,0.018
3500,-0.699,0.014
4000,-0.74,0.02
4500,-0.865,0.008
5000,-0.728,0.018
5500,-0.545,0.042
6000,-0.495,0.03
6500,-0.698,0.018
7000,-0.534,0.054
7500,-0.7,0.04
8000,-0.584,0.044
8500,-0.588,0.048
9000,-0.557,0.068
9500,-0.617,0.058
10000,-0.516,0.064
10500,-0.425,0.078
11000,-0.405,0.092
11500,-0.319,0.096
12000,-0.43,0.084
12500,-0.132,0.132
13000,-0.531,0.082
13500,-0.378,0.11
14000,-0.328,0.104
14500,-0.15,0.124
15000,-0.126,0.138
15500,-0.487,0.09
16000,-0.576,0.112
16500,-0.162,0.128
17000,-0.34,0.134
17500,-0.259,0.136
18000,-0.253,0.134
18500,0.065,0.152
19000,-0.216,0.162
19500,-0.066,0.166
20000,0.03,0.176
20500,-0.008,0.178
21000,0.11,0.194
21500,-0.008,0.186
22000,0.099,0.194
22500,0.011,0.192
23000,-0.064,0.184
23500,0.071,0.204
24000,-0.367,0.176
24500,0.275,0.208
25000,-0.116,0.17
25500,-0.113,0.204
26000,0.556,0.248
26500,0.26,0.216
27000,0.111,0.198
27500,0.298,0.232
28000,0.542,0.27
28500,0.276,0.242
29000,-0.135,0.21
29500,0.416,0.252
30000,0.031,0.228
30500,0.335,0.25
31000,0.399,0.248
31500,0.331,0.264
32000,0.176,0.208
32500,0.125,0.236
33000,0.659,0.278
33500,-0.05,0.228
34000,0.079,0.232
34500,0.437,0.262
35000,-0.058,0.226
35500,0.302,0.254
36000,0.416,0.252
36500,0.499,0.278
37000,0.423,0.262
37500,0.78,0.27
38000,0.412,0.266
38500,0.154,0.236
39000,0.388,0.26
39500,0.545,0.298
40000,0.273,0.234
40500,0.454,0.254
41000,0.271,0.25
41500,0.472,0.298
42000,0.481,0.254
42500,0.303,0.284
43000,0.732,0.29
43500,0.116,0.244
44000,0.765,0.296
44500,0.596,0.28
45000,-0.035,0.238
45500,0.105,0.242
46000,0.716,0.3
46500,0.162,0.27
47000,0.469,0.262
47500,0.232,0.264
48000,0.19,0.248
48500,0.644,0.284
49000,0.12,0.252
49500,0.678,0.296
50000,0.608,0.288
50500,0.141,0.252
51000,0.822,0.294
51500,0.8,0.31
52000,0.264,0.252
52500,0.553,0.262
53000,0.461,0.272
53500,0.522,0.278
54000,0.297,0.274
54500,0.312,0.286
55000,0.134,0.254
55500,0.615,0.286
56000,0.388,0.264
56500,0.868,0.3
57000,0.542,0.284
57500,0.802,0.292
58000,0.524,0.294
58500,0.386,0.276
59000,0.452,0.296
59500,0.39,0.288
60000,0.304,0.264
60500,0.556,0.28
61000,0.394,0.284
61500,0.344,0.25
62000,0.536,0.302
62500,0.438,0.276
63000,0.586,0.294
63500,0.354,0.274
64000,0.576,0.292
64500,0.876,0.31
65000,0.339,0.282
65500,0.442,0.296
66000,0.394,0.292
66500,0.242,0.242
67000,0.562,0.302
67500,0.472,0.278
68000,0.414,0.294
68500,0.64,0.286
69000,0.616,0.274
69500,-0.02,0.232
70000,0.526,0.286
70500,0.3,0.24
71000,0.874,0.314
71500,0.716,0.32
72000,0.538,0.29
