hand,avg_reward,win_rate
500,-0.695,0.012
1000,-0.77,0.002
1500,-0.671,0.008
2000,-0.654,0.006
2500,-0.733,0.002
3000,-0.686,0.01
3500,-0.755,0.008
4000,-0.814,0.0
4500,-0.76,0.0
5000,-0.674,0.004
5500,-0.796,0.004
6000,-0.783,0.002
6500,-0.705,0.004
7000,-0.676,0.006
7500,-0.777,0.004
8000,-0.793,0.002
8500,-0.635,0.006
9000,-0.662,0.008
9500,-0.712,0.002
10000,-0.789,0.012
10500,-0.766,0.004
11000,-0.786,0.002
11500,-0.759,0.01
12000,-0.744,0.006
12500,-0.695,0.002
13000,-0.745,0.012
13500,-0.858,0.004
14000,-0.734,0.006
14500,-0.763,0.004
15000,-0.782,0.006
15500,-0.732,0.002
16000,-0.693,0.008
16500,-0.592,0.006
17000,-0.693,0.008
17500,-0.683,0.004
18000,-0.759,0.006
18500,-0.734,0.008
19000,-0.729,0.014
19500,-0.638,0.02
20000,-0.758,0.006
20500,-0.788,0.01
21000,-0.836,0.01
21500,-0.651,0.002
22000,-0.801,0.012
22500,-0.734,0.012
23000,-0.738,0.018
23500,-0.712,0.01
24000,-0.721,0.012
24500,-0.655,0.014
25000,-0.831,0.016
25500,-0.743,0.01
26000,-0.685,0.004
26500,-0.736,0.016
27000,-0.756,0.012
27500,-0.578,0.02
28000,-0.739,0.01
28500,-0.684,0.016
29000,-0.913,0.008
29500,-0.677,0.012
30000,-0.765,0.006
30500,-0.806,0.022
31000,-0.736,0.01
31500,-0.696,0.014
32000,-0.748,0.014
32500,-0.732,0.012
33000,-0.734,0.02
33500,-0.726,0.016
34000,-0.704,0.026
34500,-0.541,0.028
35000,-0.686,0.012
35500,-0.761,0.022
36000,-0.732,0.014
36500,-0.839,0.016
37000,-0.681,0.016
37500,-0.656,0.02
38000,-0.665,0.026
38500,-0.786,0.012
39000,-0.714,0.018
39500,-0.67,0.026
40000,-0.73,0.024
40500,-0.753,0.022
41000,-0.765,0.02
41500,-0.751,0.028
42000,-0.665,0.02
42500,-0.556,0.028
43000,-0.57,0.028
43500,-0.763,0.014
44000,-0.623,0.034
44500,-0.691,0.024
45000,-0.485,0.034
45500,-0.607,0.03
46000,-0.683,0.024
46500,-0.764,0.026
47000,-0.551,0.03
47500,-0.674,0.02
48000,-0.613,0.032
48500,-0.717,0.02
49000,-0.596,0.03
49500,-0.81,0.022
50000,-0.653,0.018
50500,-0.595,0.038
51000,-0.654,0.042
51500,-0.574,0.034
52000,-0.754,0.028
52500,-0.648,0.02
53000,-0.657,0.03
53500,-0.77,0.018
54000,-0.677,0.028
54500,-0.675,0.03
55000,-0.568,0.044
55500,-0.626,0.04
56000,-0.612,0.03
56500,-0.724,0.024
57000,-0.614,0.04
57500,-0.769,0.018
58000,-0.547,0.04
58500,-0.781,0.018
59000,-0.572,0.034
59500,-0.678,0.042
60000,-0.539,0.038
60500,-0.688,0.032
61000,-0.582,0.036
61500,-0.673,0.024
62000,-0.629,0.034
62500,-0.608,0.032
63000,-0.622,0.042
63500,-0.579,0.036
64000,-0.696,0.04
64500,-0.685,0.028
65000,-0.53,0.04
65500,-0.466,0.046
66000,-0.591,0.04
66500,-0.741,0.022
67000,-0.59,0.05
67500,-0.526,0.05
68000,-0.704,0.026
68500,-0.565,0.044
69000,-0.651,0.036
69500,-0.678,0.036
70000,-0.569,0.054
70500,-0.706,0.044
71000,-0.624,0.034
71500,-0.503,0.034
72000,-0.418,0.066
72500,-0.662,0.048
73000,-0.629,0.044
73500,-0.688,0.052
74000,-0.643,0.058
74500,-0.474,0.048
75000,-0.467,0.052
75500,-0.627,0.058
76000,-0.767,0.042
76500,-0.554,0.054
77000,-0.485,0.058
77500,-0.651,0.058
78000,-0.61,0.044
78500,-0.614,0.042
79000,-0.543,0.058
79500,-0.613,0.058
80000,-0.597,0.064
80500,-0.408,0.058
81000,-0.687,0.048
81500,-0.494,0.062
82000,-0.465,0.08
82500,-0.657,0.046
83000,-0.64,0.052
83500,-0.626,0.052
84000,-0.459,0.062
84500,-0.547,0.038
85000,-0.532,0.068
85500,-0.59,0.042
86000,-0.511,0.068
86500,-0.626,0.052
87000,-0.535,0.068
87500,-0.496,0.056
88000,-0.75,0.054
88500,-0.504,0.056
89000,-0.671,0.062
89500,-0.503,0.068
90000,-0.408,0.07
90500,-0.468,0.084
91000,-0.593,0.066
91500,-0.578,0.064
92000,-0.547,0.064
92500,-0.584,0.058
93000,-0.535,0.07
93500,-0.522,0.062
94000,-0.518,0.08
94500,-0.637,0.052
95000,-0.602,0.068
95500,-0.613,0.054
96000,-0.438,0.088
96500,-0.5,0.074
97000,-0.553,0.062
97500,-0.645,0.056
98000,-0.421,0.074
98500,-0.748,0.06
99000,-0.637,0.07
99500,-0.473,0.07
100000,-0.629,0.058
