hand,avg_reward,win_rate
500,-0.763,0.002
1000,-0.641,0.012
1500,-0.689,0.008
2000,-0.699,0.008
2500,-0.668,0.008
3000,-0.753,0.004
3500,-0.724,0.022
4000,-0.811,0.03
4500,-0.62,0.028
5000,-0.738,0.032
5500,-0.756,0.032
6000,-0.663,0.044
6500,-0.567,0.038
7000,-0.756,0.038
7500,-0.772,0.032
8000,-0.584,0.06
8500,-0.587,0.062
9000,-0.574,0.056
9500,-0.641,0.068
10000,-0.65,0.058
10500,-0.435,0.058
11000,-0.484,0.108
11500,-0.405,0.076
12000,-0.566,0.086
12500,-0.68,0.084
13000,-0.614,0.08
13500,-0.268,0.108
14000,-0.521,0.126
14500,-0.529,0.102
15000,-0.606,0.096
15500,-0.502,0.114
16000,-0.464,0.136
16500,-0.337,0.15
17000,-0.302,0.146
17500,-0.493,0.152
18000,-0.424,0.182
18500,-0.243,0.144
19000,-0.125,0.164
19500,-0.286,0.164
20000,-0.303,0.182
20500,-0.296,0.174
21000,-0.206,0.182
21500,-0.02,0.2
22000,-0.083,0.184
22500,-0.015,0.174
23000,-0.266,0.166
23500,0.057,0.202
24000,-0.145,0.214
24500,-0.16,0.18
25000,-0.04,0.186
25500,-0.266,0.184
26000,-0.054,0.21
26500,0.07,0.238
27000,-0.167,0.196
27500,0.022,0.25
28000,-0.232,0.196
28500,-0.053,0.23
29000,0.115,0.242
29500,0.032,0.23
30000,0.001,0.244
30500,-0.137,0.212
31000,-0.092,0.24
31500,-0.035,0.21
32000,0.248,0.24
32500,-0.109,0.19
33000,0.285,0.26
33500,0.129,0.25
34000,0.229,0.276
34500,0.204,0.268
35000,0.037,0.226
35500,0.105,0.244
36000,0.18,0.264
36500,0.103,0.242
37000,0.16,0.274
37500,0.079,0.254
38000,0.212,0.268
38500,-0.209,0.218
39000,0.19,0.25
39500,-0.138,0.218
40000,0.234,0.232
40500,0.047,0.266
41000,0.173,0.262
41500,0.132,0.238
42000,0.291,0.256
42500,0.392,0.268
43000,0.235,0.25
43500,0.53,0.298
44000,0.438,0.284
44500,0.063,0.244
45000,0.54,0.278
45500,0.226,0.246
46000,0.166,0.25
46500,0.295,0.27
47000,0.484,0.258
47500,0.243,0.28
48000,0.122,0.272
48500,0.503,0.298
49000,0.345,0.276
49500,0.376,0.284
50000,0.636,0.302
50500,0.772,0.31
51000,0.365,0.252
51500,0.196,0.27
52000,0.49,0.322
52500,0.508,0.28
53000,0.422,0.27
53500,0.375,0.296
54000,0.314,0.292
54500,0.254,0.25
55000,0.329,0.302
55500,0.442,0.318
56000,0.214,0.292
56500,0.34,0.276
57000,0.252,0.262
57500,0.206,0.268
58000,0.272,0.288
58500,0.264,0.284
59000,0.25,0.262
59500,0.442,0.28
60000,0.35,0.29
60500,0.202,0.278
61000,0.395,0.296
61500,0.024,0.272
62000,0.43,0.298
62500,0.186,0.274
63000,0.686,0.312
63500,0.314,0.31
64000,0.16,0.23
64500,0.254,0.284
65000,0.004,0.284
65500,0.138,0.258
66000,0.222,0.274
66500,0.458,0.308
67000,0.234,0.278
67500,0.292,0.272
68000,0.468,0.308
68500,0.248,0.264
69000,0.324,0.274
69500,0.298,0.268
70000,0.388,0.276
70500,0.578,0.31
71000,0.48,0.302
71500,0.216,0.254
72000,0.444,0.298
72500,0.544,0.308
73000,0.49,0.294
73500,0.23,0.268
74000,0.248,0.282
74500,0.304,0.3
75000,0.364,0.312
75500,0.54,0.32
76000,0.488,0.298
76500,0.454,0.306
77000,0.262,0.268
77500,0.19,0.284
78000,0.598,0.334
78500,0.096,0.248
79000,0.198,0.282
79500,0.118,0.258
80000,0.052,0.262
80500,0.384,0.292
81000,0.158,0.272
81500,0.522,0.306
82000,0.316,0.28
82500,0.13,0.258
83000,0.18,0.274
83500,0.254,0.298
84000,0.316,0.264
84500,0.066,0.244
85000,0.302,0.284
85500,0.566,0.316
86000,0.376,0.292
86500,0.376,0.274
87000,0.212,0.284
87500,0.518,0.292
88000,0.442,0.272
88500,0.388,0.288
89000,0.14,0.258
89500,0.186,0.268
90000,0.232,0.268
90500,0.256,0.294
91000,0.572,0.324
91500,0.25,0.256
92000,0.242,0.29
92500,0.172,0.262
93000,0.182,0.244
93500,0.416,0.304
94000,0.38,0.28
94500,0.382,0.308
95000,0.41,0.3
95500,0.034,0.23
96000,0.336,0.296
96500,0.304,0.282
97000,0.264,0.308
97500,0.306,0.278
98000,0.556,0.298
98500,0.514,0.292
99000,0.652,0.334
99500,0.304,0.274
100000,0.352,0.28
