hand,avg_reward,win_rate
500,-0.716,0.002
1000,-0.729,0.006
1500,-0.749,0.008
2000,-0.657,0.014
2500,-0.808,0.01
3000,-0.857,0.01
3500,-0.739,0.008
4000,-0.697,0.018
4500,-0.754,0.016
5000,-0.571,0.026
5500,-0.719,0.024
6000,-0.694,0.026
6500,-0.632,0.048
7000,-0.596,0.042
7500,-0.664,0.038
8000,-0.66,0.034
8500,-0.619,0.044
9000,-0.599,0.048
9500,-0.553,0.068
10000,-0.463,0.072
10500,-0.583,0.076
11000,-0.502,0.064
11500,-0.32,0.09
12000,-0.3,0.11
12500,-0.187,0.108
13000,-0.388,0.09
13500,-0.236,0.12
14000,-0.252,0.11
14500,-0.277,0.132
15000,-0.135,0.168
15500,-0.055,0.146
16000,-0.272,0.134
16500,-0.273,0.136
17000,-0.286,0.158
17500,-0.129,0.15
18000,-0.029,0.19
18500,-0.096,0.158
19000,-0.256,0.144
19500,0.073,0.184
20000,-0.07,0.158
20500,-0.192,0.162
21000,0.06,0.2
21500,0.053,0.202
22000,0.066,0.19
22500,0.142,0.214
23000,0.001,0.2
23500,-0.027,0.182
24000,0.055,0.216
24500,0.165,0.22
25000,0.046,0.216
25500,-0.011,0.2
26000,0.316,0.258
26500,0.039,0.212
27000,0.146,0.212
27500,0.036,0.232
28000,0.048,0.21
28500,-0.14,0.224
29000,0.156,0.246
29500,0.029,0.226
30000,0.109,0.248
30500,-0.088,0.214
31000,-0.055,0.202
31500,0.022,0.212
32000,0.227,0.262
32500,-0.328,0.17
33000,0.143,0.258
33500,0.199,0.262
34000,0.037,0.226
34500,0.193,0.266
35000,0.177,0.248
35500,0.604,0.258
36000,0.383,0.242
36500,0.235,0.254
37000,0.147,0.252
37500,0.604,0.276
38000,0.156,0.252
38500,-0.003,0.238
39000,0.576,0.296
39500,0.18,0.25
40000,0.318,0.254
40500,0.483,0.288
41000,0.19,0.238
41500,0.402,0.288
42000,0.361,0.262
42500,0.395,0.282
43000,0.182,0.246
43500,0.182,0.244
44000,0.49,0.29
44500,0.275,0.284
45000,0.611,0.31
45500,0.467,0.276
46000,0.344,0.282
46500,0.824,0.346
47000,0.414,0.278
47500,0.607,0.292
48000,0.245,0.252
48500,0.6,0.296
49000,0.418,0.3
49500,0.606,0.306
50000,0.442,0.304
50500,0.189,0.264
51000,0.498,0.282
51500,0.428,0.272
52000,0.893,0.322
52500,-0.08,0.272
53000,0.377,0.284
53500,0.63,0.3
54000,0.379,0.278
54500,0.2,0.254
55000,0.257,0.284
55500,0.435,0.28
56000,0.134,0.286
56500,0.321,0.278
57000,0.632,0.322
57500,0.434,0.286
58000,0.388,0.25
58500,0.223,0.268
59000,0.472,0.286
59500,0.3,0.26
60000,0.556,0.276
60500,0.706,0.308
61000,0.326,0.272
61500,0.7,0.3
62000,0.469,0.308
62500,0.436,0.28
63000,0.226,0.266
63500,0.492,0.294
64000,0.328,0.292
64500,0.549,0.3
65000,0.343,0.302
65500,0.5,0.284
66000,0.632,0.284
66500,0.382,0.278
67000,0.216,0.272
67500,0.386,0.286
68000,0.568,0.29
68500,0.762,0.308
69000,0.474,0.276
69500,0.39,0.304
70000,0.432,0.28
70500,0.256,0.28
71000,0.473,0.274
71500,0.432,0.298
72000,0.326,0.294
72500,0.454,0.298
73000,0.412,0.278
73500,0.048,0.26
74000,0.34,0.258
74500,0.446,0.306
75000,0.472,0.286
75500,0.528,0.296
76000,0.454,0.304
76500,0.502,0.304
77000,0.336,0.28
77500,0.4,0.28
78000,0.522,0.292
78500,0.348,0.274
79000,0.568,0.326
79500,0.428,0.31
80000,0.716,0.298
80500,0.464,0.282
81000,0.232,0.276
81500,0.438,0.288
82000,0.414,0.284
82500,0.216,0.24
83000,0.288,0.262
83500,0.464,0.308
84000,0.596,0.316
84500,0.596,0.294
85000,0.698,0.306
85500,0.294,0.268
86000,0.426,0.306
86500,0.274,0.284
87000,0.516,0.268
87500,0.486,0.296
88000,0.294,0.314
88500,0.62,0.308
89000,0.424,0.28
89500,0.694,0.292
90000,0.514,0.31
90500,0.652,0.298
91000,0.338,0.278
91500,0.196,0.272
92000,0.52,0.292
92500,0.504,0.278
93000,0.636,0.298
93500,0.244,0.278
94000,0.39,0.278
94500,0.232,0.266
95000,0.32,0.298
95500,0.69,0.32
96000,0.354,0.264
96500,0.528,0.306
97000,0.406,0.294
97500,0.234,0.264
98000,0.746,0.332
98500,0.336,0.274
99000,0.59,0.29
99500,0.27,0.266
100000,0.652,0.31
100500,0.4,0.308
101000,0.326,0.286
101500,0.442,0.268
102000,0.364,0.278
102500,0.126,0.274
103000,0.336,0.252
103500,0.482,0.28
104000,0.446,0.272
104500,0.35,0.274
105000,0.278,0.266
105500,0.408,0.272
106000,0.223,0.28
106500,0.648,0.288
107000,0.35,0.29
107500,0.374,0.272
108000,0.778,0.322
108500,0.404,0.278
109000,0.2,0.282
109500,0.376,0.3
110000,0.352,0.302
110500,0.022,0.25
111000,0.416,0.27
111500,0.266,0.264
112000,0.368,0.288
112500,0.476,0.268
113000,0.602,0.314
113500,0.328,0.284
114000,0.472,0.274
114500,0.292,0.28
115000,0.26,0.264
115500,0.418,0.272
116000,0.576,0.282
116500,0.064,0.266
117000,0.248,0.26
117500,0.506,0.278
118000,0.254,0.264
118500,0.174,0.27
119000,0.68,0.292
119500,0.512,0.274
120000,0.72,0.286
120500,0.26,0.264
121000,0.288,0.27
121500,0.164,0.256
122000,0.41,0.28
122500,0.28,0.262
123000,0.594,0.284
123500,0.486,0.294
124000,0.294,0.268
124500,0.422,0.288
125000,0.516,0.262
125500,0.472,0.276
126000,0.71,0.302
126500,0.362,0.294
127000,0.146,0.254
127500,0.218,0.268
128000,0.006,0.228
128500,0.506,0.3
129000,0.296,0.284
129500,0.304,0.294
130000,0.45,0.268
130500,0.4,0.274
131000,0.448,0.288
131500,0.742,0.312
132000,0.272,0.282
132500,0.302,0.262
133000,0.368,0.26
133500,0.304,0.266
134000,0.284,0.258
134500,0.632,0.314
135000,0.414,0.284
135500,0.478,0.294
136000,0.212,0.3
136500,0.376,0.264
137000,0.254,0.26
137500,0.61,0.326
138000,0.678,0.306
138500,0.21,0.28
139000,0.27,0.264
139500,0.284,0.266
140000,0.088,0.268
140500,0.506,0.288
141000,0.602,0.29
141500,0.522,0.296
142000,0.504,0.28
142500,0.522,0.28
143000,0.196,0.274
143500,0.52,0.262
144000,0.662,0.286
144500,0.382,0.29
145000,0.516,0.264
145500,0.126,0.262
146000,0.468,0.318
146500,0.338,0.272
147000,0.616,0.292
147500,0.614,0.3
148000,0.556,0.298
148500,0.52,0.306
149000,0.54,0.292
