hand,avg_reward,win_rate
500,-0.63,0.012
1000,-0.617,0.058
1500,-0.469,0.1
2000,-0.092,0.162
2500,-0.25,0.162
3000,0.053,0.214
3500,0.388,0.234
4000,0.228,0.236
4500,-0.077,0.244
5000,-0.406,0.21
5500,0.142,0.262
6000,-0.198,0.234
6500,0.01,0.234
7000,0.068,0.24
7500,-0.27,0.234
8000,-0.14,0.248
8500,0.668,0.298
9000,-0.396,0.222
9500,0.092,0.264
10000,0.33,0.276
10500,0.1,0.268
11000,0.06,0.252
11500,0.278,0.256
12000,0.296,0.268
12500,0.714,0.302
13000,0.106,0.252
13500,0.1,0.238
14000,0.494,0.28
14500,0.104,0.228
15000,-0.052,0.238
15500,-0.07,0.244
16000,0.258,0.268
16500,0.08,0.264
17000,-0.166,0.23
17500,0.048,0.254
18000,0.372,0.278
18500,0.446,0.276
19000,-0.176,0.254
19500,-0.314,0.238
20000,0.068,0.256
20500,0.05,0.276
21000,0.384,0.25
21500,0.24,0.256
22000,-0.252,0.244
22500,0.404,0.298
23000,0.12,0.242
23500,0.402,0.272
24000,0.46,0.272
24500,0.044,0.252
25000,0.404,0.286
25500,0.314,0.266
26000,0.334,0.26
26500,0.134,0.252
27000,0.15,0.248
27500,-0.02,0.252
28000,0.264,0.244
28500,0.032,0.248
29000,-0.338,0.218
29500,0.022,0.254
30000,0.102,0.264
30500,0.394,0.3
31000,0.032,0.27
31500,0.244,0.266
32000,0.074,0.26
32500,-0.382,0.224
33000,0.358,0.262
33500,-0.044,0.25
34000,-0.228,0.232
34500,0.624,0.284
35000,0.13,0.246
35500,-0.404,0.252
36000,-0.142,0.242
36500,-0.054,0.232
37000,0.252,0.268
37500,0.37,0.27
38000,0.12,0.25
38500,-0.01,0.27
39000,-0.264,0.248
39500,0.214,0.256
40000,-0.084,0.246
40500,0.246,0.27
41000,0.336,0.264
41500,0.186,0.262
42000,0.072,0.272
42500,-0.216,0.258
43000,-0.188,0.226
43500,0.264,0.244
44000,0.098,0.276
44500,0.15,0.27
45000,-0.31,0.26
45500,0.438,0.268
46000,-0.296,0.214
46500,-0.1,0.238
47000,-0.316,0.238
47500,-0.104,0.242
48000,0.114,0.244
48500,0.336,0.27
49000,-0.174,0.24
49500,0.246,0.258
50000,-0.168,0.22
50500,0.014,0.25
51000,-0.26,0.23
51500,-0.112,0.25
52000,0.316,0.258
52500,0.464,0.29
53000,0.324,0.264
53500,0.292,0.268
54000,0.122,0.262
54500,0.11,0.272
55000,0.164,0.274
55500,-0.072,0.252
56000,-0.002,0.24
56500,0.398,0.274
57000,0.27,0.256
57500,-0.068,0.226
58000,0.434,0.288
58500,-0.278,0.222
59000,0.488,0.266
59500,-0.23,0.242
60000,-0.142,0.232
60500,0.128,0.274
61000,-0.306,0.232
61500,0.048,0.236
62000,0.19,0.228
62500,0.288,0.26
63000,0.288,0.294
63500,0.268,0.264
64000,0.332,0.26
64500,0.728,0.29
65000,0.036,0.26
65500,0.298,0.266
66000,0.146,0.272
66500,0.038,0.26
67000,-0.62,0.206
67500,-0.022,0.234
68000,-0.082,0.218
68500,0.206,0.27
69000,-0.084,0.242
69500,0.066,0.25
70000,0.216,0.256
70500,0.054,0.26
71000,0.124,0.258
71500,0.084,0.27
72000,0.598,0.276
72500,0.234,0.276
73000,0.006,0.248
73500,0.04,0.262
74000,0.104,0.248
74500,0.196,0.248
75000,-0.02,0.244
75500,0.386,0.266
76000,-0.05,0.26
76500,0.124,0.252
77000,-0.014,0.254
77500,0.374,0.27
78000,0.304,0.258
78500,-0.01,0.232
79000,0.13,0.278
79500,0.098,0.266
80000,0.158,0.252
80500,-0.028,0.228
81000,-0.04,0.246
81500,0.148,0.26
82000,0.166,0.248
82500,-0.028,0.234
83000,0.092,0.248
83500,-0.008,0.256
84000,0.13,0.256
84500,-0.146,0.244
85000,-0.064,0.232
85500,0.144,0.26
86000,0.35,0.264
86500,-0.022,0.242
87000,0.08,0.242
87500,0.11,0.268
88000,0.13,0.238
88500,0.09,0.246
89000,0.29,0.258
89500,0.402,0.272
90000,0.182,0.272
90500,0.036,0.244
91000,-0.28,0.22
91500,0.18,0.248
92000,0.098,0.238
92500,0.146,0.264
93000,-0.104,0.246
93500,0.154,0.248
94000,-0.14,0.24
94500,0.138,0.256
95000,-0.134,0.22
95500,0.17,0.254
96000,0.33,0.284
96500,-0.07,0.25
97000,0.38,0.278
97500,0.114,0.28
98000,-0.122,0.252
98500,0.166,0.242
99000,0.272,0.258
99500,-0.364,0.248
100000,0.016,0.258
100500,-0.03,0.264
101000,0.432,0.268
101500,-0.112,0.256
102000,-0.006,0.248
102500,0.378,0.254
103000,-0.026,0.244
103500,0.146,0.258
104000,0.368,0.298
104500,0.38,0.264
105000,-0.038,0.232
105500,-0.096,0.252
106000,-0.11,0.252
106500,0.096,0.242
107000,-0.196,0.23
107500,0.428,0.27
108000,0.326,0.25
108500,0.186,0.274
109000,-0.54,0.204
109500,0.074,0.25
110000,0.388,0.29
110500,0.302,0.258
111000,0.39,0.278
111500,0.582,0.278
112000,0.43,0.284
112500,0.108,0.28
113000,0.274,0.24
113500,0.242,0.254
114000,0.038,0.252
114500,0.426,0.29
115000,0.812,0.302
115500,-0.208,0.238
116000,0.636,0.28
116500,0.348,0.26
117000,0.478,0.288
117500,0.012,0.254
118000,1.002,0.306
118500,0.244,0.25
119000,0.002,0.256
119500,-0.25,0.234
120000,-0.188,0.234
120500,0.278,0.256
121000,0.51,0.282
121500,0.386,0.26
122000,-0.066,0.234
122500,-0.066,0.242
123000,0.152,0.248
123500,-0.342,0.254
124000,-0.258,0.216
124500,-0.062,0.244
125000,0.134,0.256
125500,0.496,0.27
126000,0.168,0.268
126500,0.152,0.248
127000,0.398,0.262
127500,0.448,0.264
128000,-0.112,0.246
128500,0.23,0.28
129000,-0.226,0.232
129500,0.24,0.274
130000,-0.17,0.252
130500,-0.054,0.252
131000,0.018,0.264
131500,0.266,0.258
132000,0.258,0.252
132500,0.048,0.27
133000,0.246,0.266
133500,0.094,0.248
134000,-0.18,0.24
134500,0.066,0.262
135000,0.002,0.25
135500,0.368,0.276
136000,-0.246,0.242
136500,-0.214,0.234
137000,0.38,0.276
137500,-0.148,0.216
138000,0.388,0.296
138500,0.018,0.24
139000,0.174,0.258
139500,0.022,0.236
140000,0.286,0.258
140500,0.086,0.25
141000,0.472,0.276
141500,0.198,0.27
