hand,avg_reward,win_rate
500,-0.653,0.014
1000,-0.48,0.046
1500,-0.441,0.096
2000,-0.677,0.114
2500,-0.904,0.116
3000,-0.425,0.19
3500,-0.352,0.202
4000,-0.131,0.222
4500,-0.703,0.188
5000,-0.098,0.236
5500,0.212,0.26
6000,-0.538,0.21
6500,-0.57,0.202
7000,-0.41,0.232
7500,-0.393,0.22
8000,0.116,0.234
8500,-0.762,0.208
9000,-0.3,0.222
9500,-0.524,0.204
10000,-0.962,0.154
10500,-0.118,0.234
11000,0.256,0.268
11500,0.352,0.268
12000,0.44,0.278
12500,-0.042,0.246
13000,0.07,0.23
13500,-0.258,0.222
14000,0.426,0.276
14500,0.17,0.25
15000,0.286,0.266
15500,0.062,0.24
16000,0.258,0.252
16500,-0.012,0.228
17000,0.322,0.274
17500,-0.19,0.226
18000,0.306,0.25
18500,0.286,0.27
19000,0.218,0.256
19500,0.872,0.296
20000,0.338,0.27
20500,-0.198,0.228
21000,-0.012,0.25
21500,0.474,0.284
22000,0.702,0.304
22500,0.5,0.276
23000,0.022,0.236
23500,0.138,0.268
24000,0.436,0.272
24500,-0.298,0.228
25000,0.02,0.27
25500,0.286,0.26
26000,0.53,0.286
26500,0.75,0.292
27000,0.51,0.294
27500,0.282,0.266
28000,-0.06,0.23
28500,0.044,0.25
29000,0.302,0.274
29500,0.272,0.266
30000,0.746,0.266
30500,0.066,0.256
31000,0.422,0.284
31500,0.084,0.24
32000,0.278,0.25
32500,0.28,0.258
33000,0.42,0.254
33500,0.426,0.278
34000,0.558,0.28
34500,0.314,0.262
35000,-0.004,0.228
35500,-0.382,0.212
36000,0.076,0.238
36500,0.464,0.288
37000,0.696,0.28
37500,0.042,0.254
38000,0.388,0.27
38500,0.374,0.254
39000,-0.192,0.236
39500,0.312,0.258
40000,0.328,0.266
40500,0.268,0.242
41000,0.726,0.268
41500,0.146,0.244
42000,0.038,0.236
42500,0.014,0.23
43000,0.168,0.234
43500,-0.272,0.226
44000,0.034,0.238
44500,0.078,0.246
45000,0.258,0.254
45500,0.452,0.27
46000,0.338,0.28
46500,-0.16,0.21
47000,0.386,0.288
47500,0.424,0.264
48000,0.25,0.262
48500,0.062,0.246
49000,-0.452,0.202
49500,0.456,0.262
50000,0.616,0.288
50500,0.556,0.27
51000,0.066,0.242
51500,0.144,0.24
52000,0.206,0.258
52500,-0.18,0.228
53000,0.388,0.28
53500,0.676,0.298
54000,0.302,0.262
54500,-0.068,0.234
55000,0.148,0.254
55500,0.506,0.262
56000,0.442,0.28
56500,0.204,0.266
57000,0.37,0.27
57500,0.084,0.256
58000,0.444,0.262
58500,0.006,0.254
59000,0.14,0.25
59500,0.282,0.252
60000,-0.14,0.234
60500,0.552,0.276
61000,0.758,0.288
61500,0.194,0.268
62000,-0.218,0.24
62500,0.638,0.284
63000,0.22,0.262
63500,0.52,0.282
64000,0.124,0.244
64500,0.28,0.264
65000,-0.176,0.238
65500,-0.03,0.248
66000,-0.002,0.242
66500,0.336,0.256
67000,0.136,0.24
67500,0.488,0.278
68000,0.574,0.288
68500,0.482,0.254
69000,-0.046,0.254
69500,0.246,0.274
70000,0.26,0.258
70500,0.268,0.26
71000,0.362,0.268
71500,-0.026,0.248
72000,-0.014,0.236
72500,0.65,0.268
73000,0.258,0.262
73500,0.292,0.27
74000,0.322,0.258
74500,0.178,0.272
75000,0.602,0.26
75500,0.028,0.236
76000,-0.136,0.242
76500,0.192,0.236
77000,0.49,0.262
77500,0.392,0.28
78000,0.744,0.284
78500,0.148,0.24
79000,0.284,0.262
79500,0.422,0.278
80000,0.108,0.24
80500,0.138,0.254
81000,-0.402,0.218
81500,-0.032,0.238
82000,0.792,0.274
82500,0.392,0.256
83000,0.166,0.242
83500,0.044,0.226
84000,-0.02,0.25
84500,0.512,0.278
85000,0.074,0.246
85500,0.218,0.258
86000,0.096,0.226
86500,0.078,0.266
87000,0.128,0.274
87500,-0.334,0.234
88000,0.442,0.268
88500,0.522,0.274
89000,0.61,0.268
89500,0.22,0.26
90000,-0.204,0.236
90500,0.516,0.254
91000,0.166,0.258
91500,0.08,0.25
92000,-0.044,0.252
92500,0.582,0.298
93000,0.148,0.236
93500,-0.014,0.224
94000,0.552,0.272
94500,0.188,0.248
95000,0.506,0.286
95500,0.24,0.258
96000,0.624,0.27
96500,0.282,0.26
97000,0.31,0.272
97500,-0.03,0.234
98000,0.028,0.252
98500,-0.008,0.246
99000,-0.34,0.21
99500,0.468,0.288
100000,0.864,0.284
