hand,avg_reward,win_rate
500,-0.496,0.026
1000,-0.705,0.036
1500,-0.767,0.084
2000,-0.853,0.104
2500,-0.554,0.16
3000,-0.718,0.182
3500,-0.413,0.194
4000,-0.43,0.206
4500,-0.353,0.19
5000,-0.249,0.238
5500,-0.529,0.208
6000,-0.41,0.244
6500,-0.783,0.19
7000,-0.532,0.238
7500,-0.262,0.228
8000,-0.16,0.24
8500,-0.128,0.228
9000,-0.098,0.22
9500,-0.388,0.222
10000,-0.532,0.182
10500,-0.456,0.21
11000,-0.344,0.244
11500,-0.29,0.224
12000,-0.196,0.232
12500,-0.522,0.228
13000,-0.286,0.246
13500,-0.06,0.228
14000,-0.334,0.208
14500,-0.42,0.234
15000,-0.154,0.228
15500,-0.626,0.206
16000,-0.18,0.218
16500,-0.684,0.192
17000,-0.11,0.22
17500,-0.44,0.206
18000,-0.19,0.264
18500,-0.062,0.244
19000,-0.126,0.244
19500,-0.642,0.186
20000,-0.282,0.218
20500,-0.342,0.216
21000,-0.214,0.214
21500,-1.73,0.142
22000,-2.112,0.11
22500,-2.01,0.122
23000,-1.616,0.136
23500,-1.976,0.112
24000,-1.962,0.112
24500,-1.586,0.136
25000,-1.97,0.116
25500,-2.016,0.106
26000,-1.634,0.128
26500,-1.76,0.122
27000,-1.794,0.116
27500,-1.98,0.108
28000,-1.584,0.138
28500,-1.878,0.114
29000,-1.834,0.132
29500,-2.124,0.114
30000,-1.93,0.136
30500,-1.824,0.126
31000,-1.35,0.152
31500,-1.88,0.112
32000,-1.386,0.154
32500,-1.734,0.128
33000,-1.818,0.116
33500,-1.75,0.136
34000,-1.684,0.118
34500,-1.444,0.128
35000,-1.692,0.138
35500,-1.876,0.114
36000,-1.512,0.148
36500,-1.664,0.122
37000,-1.69,0.122
37500,-1.736,0.13
38000,-1.538,0.152
38500,-1.656,0.12
39000,-2.008,0.118
39500,-1.796,0.108
40000,-1.116,0.132
40500,-1.47,0.128
41000,-1.348,0.162
41500,-1.796,0.11
42000,-1.538,0.132
42500,-2.112,0.094
43000,-1.84,0.12
43500,-2.018,0.106
44000,-1.796,0.122
44500,-1.644,0.12
45000,-1.43,0.14
45500,-1.39,0.146
46000,-1.688,0.108
46500,-1.64,0.148
47000,-1.454,0.14
47500,-2.076,0.106
48000,-1.774,0.13
48500,-1.932,0.102
49000,-1.996,0.112
49500,-1.81,0.134
50000,-1.622,0.144
50500,-1.57,0.126
51000,-1.922,0.14
51500,-1.506,0.132
52000,-1.626,0.12
52500,-1.436,0.148
53000,-1.544,0.13
53500,-1.75,0.142
54000,-1.47,0.148
54500,-1.636,0.112
55000,-1.678,0.12
55500,-1.948,0.114
56000,-2.222,0.114
56500,-1.63,0.13
57000,-2.016,0.108
57500,-1.492,0.136
58000,-1.77,0.116
58500,-1.724,0.136
59000,-1.522,0.156
59500,-2.134,0.096
60000,-1.528,0.148
60500,-1.726,0.134
61000,-2.004,0.108
61500,-1.582,0.134
62000,-1.404,0.154
62500,-2.048,0.128
63000,-1.474,0.144
63500,-1.71,0.134
64000,-2.012,0.09
64500,-2.016,0.118
65000,-1.544,0.134
65500,-1.644,0.134
66000,-1.838,0.118
66500,-1.804,0.114
67000,-1.698,0.14
67500,-1.566,0.142
68000,-1.814,0.112
68500,-1.74,0.124
69000,-1.674,0.13
69500,-2.132,0.09
70000,-1.692,0.124
70500,-1.382,0.152
71000,-1.148,0.156
71500,-1.624,0.138
72000,-1.838,0.128
72500,-1.412,0.146
73000,-1.746,0.12
73500,-1.346,0.148
74000,-1.826,0.094
74500,-1.764,0.13
75000,-1.892,0.124
75500,-1.472,0.134
76000,-1.862,0.114
76500,-1.44,0.16
77000,-1.554,0.142
77500,-1.574,0.128
78000,-1.652,0.11
78500,-1.462,0.128
79000,-1.682,0.122
79500,-1.474,0.13
80000,-1.79,0.128
80500,-1.976,0.122
81000,-1.712,0.126
81500,-1.646,0.142
82000,-1.494,0.138
82500,-1.696,0.124
83000,-1.584,0.136
83500,-1.494,0.138
84000,-1.766,0.126
84500,-1.642,0.146
85000,-1.648,0.114
85500,-1.902,0.11
86000,-1.706,0.124
86500,-1.616,0.136
87000,-1.828,0.126
87500,-2.022,0.102
88000,-2.074,0.122
88500,-1.11,0.152
89000,-1.632,0.132
89500,-1.87,0.118
90000,-1.666,0.108
90500,-1.776,0.136
91000,-1.708,0.132
91500,-1.742,0.124
92000,-1.446,0.156
92500,-1.796,0.128
93000,-2.01,0.106
93500,-2.18,0.102
94000,-1.898,0.128
94500,-1.85,0.114
95000,-1.612,0.14
95500,-1.468,0.138
96000,-1.806,0.134
96500,-2.074,0.108
97000,-1.74,0.124
97500,-1.612,0.126
98000,-1.952,0.134
98500,-1.64,0.134
99000,-1.874,0.114
99500,-1.7,0.12
100000,-1.452,0.146
100500,-1.44,0.14
101000,-1.706,0.132
101500,-1.466,0.136
102000,-2.148,0.1
102500,-1.744,0.126
103000,-1.516,0.126
103500,-1.51,0.152
104000,-1.844,0.13
104500,-1.364,0.142
105000,-1.892,0.136
105500,-1.774,0.118
106000,-1.498,0.142
106500,-1.702,0.13
107000,-2.33,0.106
107500,-1.75,0.12
108000,-1.568,0.138
108500,-1.742,0.118
109000,-1.602,0.122
109500,-2.048,0.114
110000,-1.898,0.098
110500,-1.412,0.146
111000,-1.994,0.124
111500,-1.84,0.116
112000,-1.454,0.132
112500,-1.696,0.12
113000,-1.338,0.166
113500,-1.538,0.146
114000,-1.562,0.122
114500,-1.338,0.162
115000,-1.706,0.108
115500,-1.958,0.12
116000,-1.916,0.126
116500,-1.954,0.124
117000,-1.744,0.134
117500,-2.16,0.118
118000,-1.594,0.124
118500,-1.956,0.122
119000,-1.804,0.122
119500,-2.058,0.118
