hand,avg_reward,win_rate
500,-0.673,0.008
1000,-0.723,0.008
1500,-0.709,0.002
2000,-0.697,0.006
2500,-0.691,0.026
3000,-0.86,0.004
3500,-0.687,0.036
4000,-0.612,0.012
4500,-0.667,0.024
5000,-0.569,0.042
5500,-0.574,0.04
6000,-0.545,0.042
6500,-0.679,0.038
7000,-0.62,0.04
7500,-0.616,0.042
8000,-0.638,0.054
8500,-0.46,0.07
9000,-0.394,0.082
9500,-0.575,0.046
10000,-0.62,0.068
10500,-0.586,0.066
11000,-0.483,0.096
11500,-0.46,0.094
12000,-0.683,0.084
12500,-0.778,0.062
13000,-0.527,0.108
13500,-0.406,0.104
14000,-0.284,0.11
14500,-0.296,0.116
15000,-0.423,0.114
15500,-0.078,0.152
16000,-0.04,0.164
16500,-0.436,0.126
17000,-0.448,0.118
17500,-0.359,0.144
18000,-0.311,0.136
18500,-0.258,0.144
19000,-0.366,0.156
19500,-0.059,0.164
20000,0.014,0.188
20500,-0.155,0.162
21000,-0.14,0.14
21500,-0.169,0.15
22000,-0.164,0.178
22500,-0.118,0.198
23000,-0.139,0.198
23500,0.011,0.22
24000,-0.225,0.166
24500,-0.177,0.166
25000,-0.391,0.21
