hand,avg_reward,win_rate
500,-0.728,0.004
1000,-0.709,0.002
1500,-0.773,0.006
2000,-0.758,0.006
2500,-0.837,0.006
3000,-0.595,0.024
3500,-0.561,0.026
4000,-0.717,0.026
4500,-0.575,0.032
5000,-0.577,0.032
5500,-0.605,0.03
6000,-0.634,0.044
6500,-0.574,0.04
7000,-0.794,0.034
7500,-0.628,0.034
8000,-0.671,0.046
8500,-0.408,0.082
9000,-0.695,0.056
9500,-0.526,0.068
10000,-0.484,0.072
